molecular weight,molecular formula,strength
204.04226,C11H8O4,3858998.0
206.021525,C10H6O5,4279471.0
208.037175,C10H8O5,3708876.0
210.08921,C11H14O4,3899244.0
218.05791,C12H10O4,4322120.0
220.037175,C11H8O5,5351769.000000001
220.07356,C12H12O4,4573167.0
222.01644,C10H6O6,5508254.0
222.052825,C11H10O5,5642510.0
222.08921,C12H14O4,4856860.0
224.03209,C10H8O6,5615341.0
224.068475,C11H12O5,5028806.0
224.10486,C12H16O4,4644179.0
226.084125,C11H14O5,5461714.0
228.06339,C10H12O6,3659533.0
228.099775,C11H16O5,3860267.0
232.037175,C12H8O5,4842132.0
232.07356,C13H12O4,4698380.0
234.052825,C12H10O5,5984737.0
234.08921,C13H14O4,5017070.0
236.03209,C11H8O6,5631296.0
236.068475,C12H12O5,6424768.0
236.10486,C13H16O4,5833101.0
238.04774,C11H10O6,6223090.0
238.084125,C12H14O5,7191907.0
238.12051,C13H18O4,4648842.0
240.027005,C10H8O7,3941854.0
240.06339,C11H12O6,6069785.0
240.099775,C12H16O5,7852923.0
242.07904,C11H14O6,7446519.0
242.115425,C12H18O5,3938914.0
244.09469,C11H16O6,4675861.0
246.052825,C13H10O5,6554122.0
246.08921,C14H14O4,4474792.0
248.03209,C12H8O6,6345059.0
248.068475,C13H12O5,8231391.0
248.10486,C14H16O4,5433867.0
250.011355,C11H6O7,3742037.0
250.04774,C12H10O6,8730853.0
250.084125,C13H14O5,7562144.0
250.12051,C14H18O4,5996431.0
252.027005,C11H8O7,5086326.0
252.06339,C12H12O6,9100405.0
252.099775,C13H16O5,10722713.0
254.042655,C11H10O7,5733768.0
254.07904,C12H14O6,10889158.0
254.115425,C13H18O5,8995821.0
256.058305,C11H12O7,5708428.0
256.09469,C12H16O6,13396570.0
258.052825,C14H10O5,5329153.0
258.073955,C11H14O7,7564843.0
258.11034,C12H18O6,5881845.0
260.03209,C13H8O6,4804025.0
260.068475,C14H12O5,7065643.0
260.10486,C15H16O4,4602270.0
262.04774,C13H10O6,8501750.0
262.084125,C14H14O5,8765964.0
262.12051,C15H18O4,4903588.0
264.027005,C12H8O7,6968771.0
264.06339,C13H12O6,11343909.0
264.099775,C14H16O5,10104077.0
264.13616,C15H20O4,5042724.0
266.00627,C11H6O8,3894651.0
266.042655,C12H10O7,9296883.0
266.07904,C13H14O6,12431280.0
266.115425,C14H18O5,12465331.0
266.155181,C12H26O4S1,4478761.0
268.02192,C11H8O8,4213453.0
268.058305,C12H12O7,9460865.0
268.09469,C13H16O6,19019374.0
268.131075,C14H20O5,8094160.0
270.052825,C15H10O5,4369092.0
270.073955,C12H14O7,13981026.0
270.11034,C13H18O6,16247373.0
272.03209,C14H8O6,4402736.0
272.068475,C15H12O5,5487004.0
272.089605,C12H16O7,13955951.0
272.12599,C13H20O6,4369874.0
274.04774,C14H10O6,7477247.0
274.084125,C15H14O5,7053173.0
274.105255,C12H18O7,4371570.0
276.027005,C13H8O7,6407719.0
276.06339,C14H12O6,10411240.0
276.099775,C15H16O5,6966967.0
278.042655,C13H10O7,9757866.0
278.07904,C14H14O6,16123639.0
278.115425,C15H18O5,9569527.0
280.02192,C12H8O8,5493787.0
280.058305,C13H12O7,11677188.0
