molecular weight,molecular formula,strength
306.11034,C16H18O6,86476136.0
306.146725,C17H22O5,33269786.0
308.016835,C13H8O9,37753644.0
308.05322,C14H12O8,119465096.0
308.089605,C15H16O7,163950992.0
308.12599,C16H20O6,113999624.0
308.162375,C17H24O5,24267264.0
310.032485,C13H10O9,54563708.0
310.06887,C14H14O8,160763296.0
310.105255,C15H18O7,269188480.0
310.14164,C16H22O6,91600504.0
311.1368890000001,C15H21O6N1,3727034.0
312.048135,C13H12O9,71850288.0
312.06339,C17H12O6,29076188.0
312.08452,C14H16O8,277672064.0
312.08452,C14H16O8,277672064.0
312.120905,C15H20O7,254970144.0
312.120905,C15H20O7,254970144.0
312.15729,C16H24O6,30078328.0
312.175916,C17H28O3S1,34497644.0
312.08452,C14H16O8,36577976.0
312.120905,C15H20O7,35780588.0
314.042655,C16H10O7,39668892.0
314.0637850000001,C13H14O9,101830984.0
314.07904,C17H14O6,34494456.0
314.10017,C14H18O8,287876000.0
314.10017,C14H18O8,287876000.0
314.118796,C15H22O5S1,3699630.0
314.136555,C15H22O7,93114856.0
314.10017,C14H18O8,40428072.0
316.02192,C15H8O8,32120564.0
316.058305,C16H12O7,64240432.0
316.079435,C13H16O9,105133536.0
316.09469,C17H16O6,44639148.0
316.11582,C14H20O8,112880272.0
318.03757,C15H10O8,63936432.0
318.073955,C16H14O7,84867176.0
318.085188,C15H14O6N2,3945781.0
318.095085,C13H18O9,39224052.0
318.11034,C17H18O6,57095980.0
318.146725,C18H22O5,26769638.0
320.016835,C14H8O9,29349936.0
320.05322,C15H12O8,107091824.0
320.064453,C14H12O7N2,3799352.0
320.089605,C16H16O7,109418232.0
320.12599,C17H20O6,77627472.0
320.162375,C18H24O5,25101564.0
322.032485,C14H10O9,66849268.0
322.058322,C9H14O7N4S1,3844036.0
322.06887,C15H14O8,146319840.0
322.105255,C16H18O7,172025472.0
322.14164,C17H22O6,91806656.0
324.01175,C13H8O10,21275836.0
324.048135,C14H12O9,105493000.0
324.06339,C18H12O6,19420742.0
324.08452,C15H16O8,230686352.0
324.120905,C16H20O7,242047952.0
324.15729,C17H24O6,56667792.0
326.0274,C13H10O10,29607524.0
326.042655,C17H10O7,28163490.0
326.0637850000001,C14H14O9,148587440.0
326.07904,C18H14O6,21848242.0
326.10017,C15H18O8,382391232.0
326.10017,C15H18O8,382391232.0
326.10017,C15H18O8,382391232.0
326.136555,C16H22O7,168875184.0
326.191566,C18H30O3S1,29917404.0
326.10017,C15H18O8,57454716.0
326.10017,C15H18O8,57454716.0
328.04305,C13H12O10,37239960.0
328.058305,C17H12O7,43011028.0
328.079435,C14H16O9,220274960.0
328.079435,C14H16O9,220274960.0
328.09469,C18H16O6,27998422.0
328.11582,C15H20O8,308029440.0
328.11582,C15H20O8,308029440.0
328.152205,C16H24O7,46818012.0
328.079435,C14H16O9,30572840.0
328.11582,C15H20O8,46176512.0
330.03757,C16H10O8,49779296.0
330.0587,C13H14O10,48710816.0
330.073955,C17H14O7,57922032.0
330.095085,C14H18O9,182213824.0
330.11034,C18H18O6,35515324.0
330.13147,C15H22O8,89991648.0
332.016835,C15H8O9,30382754.0
332.05322,C16H12O8,88811584.0
332.07435,C13H16O10,33696236.0
332.089605,C17H16O7,81295568.0
332.100838,C16H16O6N2,4176411.0
332.110735,C14H20O9,53917512.0
332.12599,C18H20O6,49045772.0
332.162375,C19H24O5,19007540.0
334.032485,C15H10O9,67987048.0
334.06887,C16H14O8,131641936.0
334.105255,C17H18O7,109990280.0
