molecular weight,molecular formula,strength
204.04226,C11H8O4,26722960.0
206.021525,C10H6O5,25540764.0
208.037175,C10H8O5,23033050.0
210.08921,C11H14O4,21971358.0
216.005875,C11H4O5,3657111.0
218.05791,C12H10O4,30125244.0
220.037175,C11H8O5,32968262.0
220.07356,C12H12O4,31036406.0
222.01644,C10H6O6,28850108.0
222.052825,C11H10O5,29644620.0
222.08921,C12H14O4,31480936.0
224.03209,C10H8O6,25936906.0
224.068475,C11H12O5,29095366.0
224.10486,C12H16O4,28079336.0
226.084125,C11H14O5,29631142.0
226.09938,C15H14O2,4136985.0
228.06339,C10H12O6,18806382.0
228.099775,C11H16O5,21741510.0
232.037175,C12H8O5,29327060.0
232.07356,C13H12O4,30881516.0
234.052825,C12H10O5,38076340.0
234.08921,C13H14O4,31112754.0
236.03209,C11H8O6,33353384.0
236.068475,C12H12O5,38822320.0
236.10486,C13H16O4,34177592.0
238.04774,C11H10O6,32570902.0
238.084125,C12H14O5,42233100.00000001
238.12051,C13H18O4,25141682.0
240.027005,C10H8O7,16565966.0
240.06339,C11H12O6,31638588.0
240.099775,C12H16O5,44780652.0
242.07904,C11H14O6,37974168.0
242.115425,C12H18O5,20186200.0
244.09469,C11H16O6,24862294.0
246.052825,C13H10O5,38276096.0
246.08921,C14H14O4,25361344.0
248.03209,C12H8O6,36494928.0
248.068475,C13H12O5,45579840.0
248.10486,C14H16O4,30443584.0
250.011355,C11H6O7,18429490.0
250.04774,C12H10O6,45488308.0
250.084125,C13H14O5,46035824.0
250.12051,C14H18O4,32034308.0
252.027005,C11H8O7,24296566.0
252.06339,C12H12O6,45025464.0
252.099775,C13H16O5,57361164.0
254.042655,C11H10O7,27129314.0
254.07904,C12H14O6,63564076.0
254.115425,C13H18O5,46431240.0
256.058305,C11H12O7,30271388.0
256.09469,C12H16O6,73021000.0
258.052825,C14H10O5,34117220.0
258.073955,C11H14O7,32309646.0
258.11034,C12H18O6,28635380.0
260.03209,C13H8O6,32643514.0
260.068475,C14H12O5,40517720.0
260.10486,C15H16O4,23313400.0
262.04774,C13H10O6,49296392.0
262.084125,C14H14O5,45968788.0
262.12051,C15H18O4,27287688.0
264.027005,C12H8O7,36878688.0
264.06339,C13H12O6,56834544.0
