molecular weight,molecular formula,strength
142.02661,C6H6O4,4210212.0
148.05243,C9H8O2,6016079.0
150.031695,C8H6O3,7678898.0
150.06808,C9H10O2,11861579.0
152.047345,C8H8O3,13836226.0
152.08373,C9H12O2,7314076.0
154.02661,C7H6O4,16190466.0
154.062995,C8H10O3,8726448.0
154.09938,C9H14O2,4367684.0
156.04226,C7H8O4,7568338.0
156.078645,C8H12O3,4918209.0
158.021525,C6H6O5,6561212.0
158.05791,C7H10O4,4298448.0
160.05243,C10H8O2,5851537.0
162.031695,C9H6O3,11399765.0
162.06808,C10H10O2,8642643.0
164.01096,C8H4O4,8782721.0
164.047345,C9H8O3,16683292.0
164.08373,C10H12O2,9479651.0
166.02661,C8H6O4,14353122.0
166.062995,C9H10O3,15458865.0
166.09938,C10H14O2,7514258.0
168.04226,C8H8O4,17265918.0
168.078645,C9H12O3,10872557.0
170.021525,C7H6O5,8871229.0
170.05791,C8H10O4,10222439.0
170.094295,C9H14O3,6101516.0
172.037175,C7H8O5,7475503.0
172.07356,C8H12O4,5350090.0
174.031695,C10H6O3,6419214.0
174.052825,C7H10O5,5658283.0
174.06808,C11H10O2,7514514.0
176.047345,C10H8O3,17731508.0
176.08373,C11H12O2,9860478.0
178.02661,C9H6O4,21945560.0
178.062995,C10H10O3,18678570.0
178.09938,C11H14O2,10679116.0
180.005875,C8H4O5,11836288.0
180.04226,C9H8O4,26300970.0
180.078645,C10H12O3,17156724.0
180.11503,C11H16O2,7725129.0
182.021525,C8H6O5,19567232.0
182.05791,C9H10O4,18092234.0
182.094295,C10H14O3,14599882.0
184.037175,C8H8O5,13570572.0
184.07356,C9H12O4,15734781.0
184.109945,C10H16O3,5385761.0
186.052825,C8H10O5,12037660.0
186.08921,C9H14O4,7138947.0
188.03209,C7H8O6,4869596.0
188.047345,C11H8O3,15431650.0
188.068475,C8H12O5,7230491.0
188.08373,C12H12O2,8244030.0
190.02661,C10H6O4,21704606.0
190.062995,C11H10O3,22548960.0
190.09938,C12H14O2,9637390.0
192.005875,C9H4O5,11030358.0
192.04226,C10H8O4,36073424.0
192.078645,C11H12O3,22437270.0
192.11503,C12H16O2,9740207.0
194.021525,C9H6O5,27249998.0
194.05791,C10H10O4,33384762.0
194.094295,C11H14O3,22047206.0
194.13068,C12H18O2,5500423.0
196.00079,C8H4O6,5521262.0
196.037175,C9H8O5,35242500.0
196.07356,C10H12O4,25841972.0
196.109945,C11H16O3,13222683.0
198.01644,C8H6O6,21853700.0
198.052825,C9H10O5,18720690.0
198.08921,C10H14O4,17100194.0
200.03209,C8H8O6,7973963.0
200.068475,C9H12O5,17601418.0
200.10486,C10H16O4,6365599.0
202.02661,C11H6O4,11965577.0
202.04774,C8H10O6,7457530.0
202.062995,C12H10O3,17527106.0
202.084125,C9H14O5,9397478.0
202.09938,C13H14O2,7017617.0
204.005875,C10H4O5,10358752.0
204.04226,C11H8O4,37048652.0
204.078645,C12H12O3,22182590.0
204.11503,C13H16O2,8095824.0
205.037509,C10H7O4N1,5000982.0
204.04226,C11H8O4,3858998.0
206.021525,C10H6O5,40080428.0
206.05791,C11H10O4,36029540.0
206.094295,C12H14O3,22123440.0
206.13068,C13H18O2,7566301.0
206.167065,C14H22O1,5709113.0
206.021525,C10H6O5,4279471.0
207.053159,C10H9O4N1,4235126.0
208.00079,C9H4O6,17004684.0
208.037175,C10H8O5,40451188.0
208.07356,C11H12O4,30157134.0
208.109945,C12H16O3,20361840.0
208.037175,C10H8O5,3708876.0
209.068809,C10H11O4N1,3805423.0
210.01644,C9H6O6,24901998.0
210.052825,C10H10O5,35763624.0
210.08921,C11H14O4,30414606.0
210.125595,C12H18O3,10035197.0
210.08921,C11H14O4,3899244.0
212.03209,C9H8O6,27054516.0
212.068475,C10H12O5,30976750.0
212.10486,C11H16O4,23776164.0
214.011355,C8H6O7,5581809.0
214.02661,C12H6O4,8659656.0
214.04774,C9H10O6,15164294.0
214.062995,C13H10O3,13453884.0
214.084125,C10H14O5,25974626.0
214.09938,C14H14O2,5058540.0
214.12051,C11H18O4,5604218.0
216.027005,C8H8O7,4448152.0
216.04226,C12H8O4,23758450.0
216.06339,C9H12O6,14431676.0
216.078645,C13H12O3,17958242.0
216.099775,C10H16O5,8708794.0
216.11503,C14H16O2,6121277.0
218.021525,C11H6O5,25141014.0
218.05791,C12H10O4,37151772.0
218.07904,C9H14O6,7371015.0
218.094295,C13H14O3,19108860.0
218.13068,C14H18O2,5950966.0
219.053159,C11H9O4N1,5665840.0
218.05791,C12H10O4,4322120.0
220.00079,C10H4O6,7358805.0
220.037175,C11H8O5,49248988.0
220.07356,C12H12O4,39274320.0
220.109945,C13H16O3,20285174.0
221.032424,C10H7O5N1,4582843.0
220.037175,C11H8O5,5351769.000000001
221.068809,C11H11O4N1,5389161.0
220.07356,C12H12O4,4573167.0
222.01644,C10H6O6,48241712.0
222.052825,C11H10O5,47010968.0
222.08921,C12H14O4,39567828.0
222.125595,C13H18O3,14827084.0
222.01644,C10H6O6,5508254.0
223.048074,C10H9O5N1,4954428.0
222.052825,C11H10O5,5642510.0
223.084459,C11H13O4N1,4526172.0
222.08921,C12H14O4,4856860.0
223.995705,C9H4O7,11134254.0
224.03209,C10H8O6,55413916.0
224.068475,C11H12O5,42736492.00000001
224.10486,C12H16O4,37564148.0
224.141245,C13H20O3,5544589.0
224.03209,C10H8O6,5615341.0
225.063724,C10H11O5N1,4655620.0
224.068475,C11H12O5,5028806.0
224.10486,C12H16O4,4644179.0
226.011355,C9H6O7,21300980.0
226.04774,C10H10O6,30931916.0
226.084125,C11H14O5,45148612.0
226.12051,C12H18O4,17021454.0
226.084125,C11H14O5,5461714.0
228.027005,C9H8O7,9027719.0
228.04226,C13H8O4,15925312.0
228.06339,C10H12O6,34322040.0
228.078645,C14H12O3,11011553.0
228.099775,C11H16O5,36355892.0
228.06339,C10H12O6,3659533.0
228.099775,C11H16O5,3860267.0
229.167794,C12H23O3N1,4693039.0
230.021525,C12H6O5,17213320.0
230.05791,C13H10O4,26665986.0
230.07904,C10H14O6,27973380.0
230.094295,C14H14O3,13556748.0
230.115425,C11H18O5,7415825.0
230.13068,C15H18O2,3797233.0
231.053159,C12H9O4N1,4850141.0
232.00079,C11H4O6,7545545.0
232.037175,C12H8O5,39489828.0
232.07356,C13H12O4,34622128.0
232.09469,C10H16O6,8695132.0
232.109945,C14H16O3,14344081.0
232.14633,C15H20O2,3850214.0
233.032424,C11H7O5N1,4985031.0
232.037175,C12H8O5,4842132.0
233.068809,C12H11O4N1,5450707.0
232.07356,C13H12O4,4698380.0
234.01644,C11H6O6,30179862.0
234.052825,C12H10O5,50179020.0
234.08921,C13H14O4,35876128.0
234.125595,C14H18O3,14478755.0
234.16198,C15H22O2,6367259.0
235.048074,C11H9O5N1,6567114.0
234.052825,C12H10O5,5984737.0
235.084459,C12H13O4N1,5311223.999999999
234.08921,C13H14O4,5017070.0
235.995705,C10H4O7,7754669.0
236.03209,C11H8O6,50996896.0
236.068475,C12H12O5,54296888.0
236.10486,C13H16O4,38580192.0
236.141245,C14H20O3,9475784.0
236.03209,C11H8O6,5631296.0
237.063724,C11H11O5N1,5986617.0
236.068475,C12H12O5,6424768.0
237.100109,C12H15O4N1,3865555.0
236.10486,C13H16O4,5833101.0
238.011355,C10H6O7,33811712.0
238.037192,C5H10O5N4S1,4077943.0
238.04774,C11H10O6,56989740.0
238.084125,C12H14O5,57489284.0
238.12051,C13H18O4,30665156.0
239.042989,C10H9O6N1,4243102.0
238.04774,C11H10O6,6223090.0
239.079374,C11H13O5N1,4528582.0
238.084125,C12H14O5,7191907.0
238.12051,C13H18O4,4648842.0
240.027005,C10H8O7,37235060.0
240.04226,C14H8O4,10639907.0
240.06339,C11H12O6,50997072.0
240.099775,C12H16O5,64043324.0
240.13616,C13H20O4,11658345.0
240.027005,C10H8O7,3941854.0
241.058639,C10H11O6N1,4255075.0
240.06339,C11H12O6,6069785.0
240.099775,C12H16O5,7852923.0
242.00627,C9H6O8,6135109.0
242.021525,C13H6O5,8418212.0
242.042655,C10H10O7,19394534.0
242.05791,C14H10O4,18918414.0
242.07904,C11H14O6,62852024.0
242.094295,C15H14O3,10163780.0
242.115425,C12H18O5,28084924.0
243.053159,C13H9O4N1,4252081.0
242.07904,C11H14O6,7446519.0
242.115425,C12H18O5,3938914.0
243.183444,C13H25O3N1,22179714.0
244.037175,C13H8O5,27568504.0
244.058305,C10H12O7,24153268.0
244.07356,C14H12O4,24806632.0
244.09469,C11H16O6,42639852.00000001
244.109945,C15H16O3,10905676.0
244.131075,C12H20O5,4563970.0
245.032424,C12H7O5N1,3854454.0
245.068809,C13H11O4N1,5131399.0
244.09469,C11H16O6,4675861.0
246.01644,C12H6O6,20126364.0
246.03757,C9H10O8,4427174.0
246.052825,C13H10O5,46116584.0
246.056196,C10H14O5S1,4339094.0
246.073955,C10H14O7,14242972.0
246.08921,C14H14O4,28016444.0
246.11034,C11H18O6,7519342.0
246.125595,C15H18O3,12207835.0
247.048074,C12H9O5N1,7308845.0
246.052825,C13H10O5,6554122.0
247.084459,C13H13O4N1,4773084.0
246.08921,C14H14O4,4474792.0
247.995705,C11H4O7,9568017.0
248.03209,C12H8O6,52472148.0
248.068475,C13H12O5,59895680.0
248.10486,C14H16O4,31838736.0
248.141245,C15H20O3,10345705.0
249.027339,C11H7O6N1,5297335.999999999
248.03209,C12H8O6,6345059.0
249.063724,C12H11O5N1,8809479.0
248.068475,C13H12O5,8231391.0
249.100109,C13H15O4N1,4241191.0
248.10486,C14H16O4,5433867.0
250.011355,C11H6O7,31764064.0
250.04774,C12H10O6,68764896.0
250.084125,C13H14O5,61225256.0
250.12051,C14H18O4,35881900.0
250.156895,C15H22O3,6250570.0
250.011355,C11H6O7,3742037.0
251.042989,C11H9O6N1,6136859.0
250.04774,C12H10O6,8730853.0
251.079374,C12H13O5N1,7995282.0
250.084125,C13H14O5,7562144.0
250.12051,C14H18O4,5996431.0
251.99062,C10H4O8,12763349.0
252.027005,C11H8O7,50145284.0
252.04226,C15H8O4,5892715.0
252.06339,C12H12O6,70119864.0
252.099775,C13H16O5,75553240.0
252.13616,C14H20O4,24010090.0
252.027005,C11H8O7,5086326.0
253.058639,C11H11O6N1,6967748.0
252.06339,C12H12O6,9100405.0
253.095024,C12H15O5N1,6362979.0
252.099775,C13H16O5,10722713.0
254.00627,C10H6O8,11967899.0
254.021525,C14H6O5,5155551.0
254.042655,C11H10O7,48007368.0
254.05791,C15H10O4,14460714.0
254.07904,C12H14O6,92064432.0
254.094295,C16H14O3,7404765.0
254.115425,C13H18O5,62646780.0
254.15181,C14H22O4,7554586.0
254.042655,C11H10O7,5733768.0
255.053159,C14H9O4N1,4436379.0
255.074289,C11H13O6N1,6635840.0
254.07904,C12H14O6,10889158.0
254.115425,C13H18O5,8995821.0
256.02192,C10H8O8,20280818.0
256.037175,C14H8O5,21295284.0
256.058305,C11H12O7,51870728.0
256.07356,C15H12O4,18842078.0
256.09469,C12H16O6,108745736.0
256.109945,C16H16O3,7541873.0
256.131075,C13H20O5,21872374.0
256.24023,C16H32O2,8434363.0
257.032424,C13H7O5N1,3702033.0
256.058305,C11H12O7,5708428.0
257.068809,C14H11O4N1,5023558.0
257.089939,C11H15O6N1,4842509.0
256.09469,C12H16O6,13396570.0
258.01644,C13H6O6,15695353.0
258.03757,C10H10O8,9990941.0
258.052825,C14H10O5,38273516.0
258.073955,C11H14O7,60736904.0
258.08921,C15H14O4,22909146.0
258.11034,C12H18O6,44145512.0
258.125595,C16H18O3,8400626.0
259.048074,C13H9O5N1,6544026.0
258.052825,C14H10O5,5329153.0
258.073955,C11H14O7,7564843.0
259.084459,C14H13O4N1,5100770.0
258.11034,C12H18O6,5881845.0
260.03209,C13H8O6,41067224.0
260.05322,C10H12O8,9850512.0
260.068475,C14H12O5,47872524.0
260.089605,C11H16O7,28550278.0
260.10486,C15H16O4,24595656.0
260.12599,C12H20O6,5344075.000000001
260.141245,C16H20O3,8139541.0
261.027339,C12H7O6N1,4423933.0
260.03209,C13H8O6,4804025.0
261.063724,C13H11O5N1,8292458.0
260.068475,C14H12O5,7065643.0
261.100109,C14H15O4N1,4107725.0
260.10486,C15H16O4,4602270.0
262.011355,C12H6O7,22326754.0
262.04774,C13H10O6,67840592.0
262.06887,C10H14O8,3817922.0
262.084125,C14H14O5,54245612.0
262.12051,C15H18O4,27921608.0
262.156895,C16H22O3,5667412.0
263.042989,C12H9O6N1,8094605.0
262.04774,C13H10O6,8501750.0
263.079374,C13H13O5N1,9008939.0
262.084125,C14H14O5,8765964.0
262.12051,C15H18O4,4903588.0
263.99062,C11H4O8,4417792.0
264.012617,C9H12O5S2,6259571.0
264.027005,C12H8O7,57261128.0
264.04226,C16H8O4,4122079.0
264.06339,C13H12O6,78936816.0
264.099775,C14H16O5,67971976.0
264.13616,C15H20O4,27312830.0
265.022254,C11H7O7N1,4242884.0
264.027005,C12H8O7,6968771.0
265.058639,C12H11O6N1,9259732.0
264.06339,C13H12O6,11343909.0
265.095024,C13H15O5N1,6988337.0
264.099775,C14H16O5,10104077.0
264.13616,C15H20O4,5042724.0
266.00627,C11H6O8,29014144.0
266.032107,C6H10O6N4S1,3745767.0
266.042655,C12H10O7,71329584.0
266.05791,C16H10O4,10372862.0
266.07904,C13H14O6,92413816.0
266.115425,C14H18O5,80808160.0
266.15181,C15H22O4,12921301.0
266.155181,C12H26O4S1,29943270.0
267.037904,C11H9O7N1,4246890.0
266.042655,C12H10O7,9296883.0
267.074289,C12H13O6N1,9651571.0
266.07904,C13H14O6,12431280.0
267.110674,C13H17O5N1,5295697.000000001
266.115425,C14H18O5,12465331.0
267.985535,C10H4O9,4650299.0
268.02192,C11H8O8,37123976.0
268.037175,C15H8O5,13911223.0
268.047757,C6H12O6N4S1,5692130.0
268.058305,C12H12O7,76283512.0
268.07356,C16H12O4,13920700.0
268.09469,C13H16O6,138299760.0
268.109945,C17H16O3,4634225.0
268.131075,C14H20O5,50210148.0
268.02192,C11H8O8,4213453.0
269.053554,C11H11O7N1,4729450.0
268.058305,C12H12O7,9460865.0
269.068809,C15H11O4N1,3761550.0
269.089939,C12H15O6N1,8840894.0
268.09469,C13H16O6,19019374.0
268.131075,C14H20O5,8094160.0
270.001185,C10H6O9,7367232.0
270.01644,C14H6O6,8182255.0
270.03757,C11H10O8,29607336.0
270.052825,C15H10O5,28399056.0
270.073955,C12H14O7,115531744.0
270.08921,C16H14O4,14961082.0
270.11034,C13H18O6,119899992.0
270.125595,C17H18O3,5451143.0
270.146725,C14H22O5,12499758.0
271.048074,C14H9O5N1,5704750.0
270.052825,C15H10O5,4369092.0
271.069204,C11H13O7N1,4760331.0
270.073955,C12H14O7,13981026.0
271.084459,C15H13O4N1,3868006.0
271.1055890000001,C12H17O6N1,4139403.0
270.11034,C13H18O6,16247373.0
272.016835,C10H8O9,4007390.0
272.03209,C14H8O6,30353364.0
272.05322,C11H12O8,32965450.0
272.068475,C15H12O5,35621716.0
272.089605,C12H16O7,118217168.0
272.10486,C16H16O4,16106196.0
272.12599,C13H20O6,31256026.0
272.141245,C17H20O3,5382886.0
273.027339,C13H7O6N1,4291859.0
272.03209,C14H8O6,4402736.0
273.063724,C14H11O5N1,6650756.0
272.068475,C15H12O5,5487004.0
272.089605,C12H16O7,13955951.0
272.12599,C13H20O6,4369874.0
274.011355,C13H6O7,19217998.0
274.04774,C14H10O6,53613516.0
274.06887,C11H14O8,29246582.0
274.084125,C15H14O5,39674048.0
274.105255,C12H18O7,34893720.0
274.12051,C16H18O4,18974534.0
274.156895,C17H22O3,5103054.0
275.042989,C13H9O6N1,8254069.0
274.04774,C14H10O6,7477247.0
275.079374,C14H13O5N1,7647920.0
274.084125,C15H14O5,7053173.0
274.105255,C12H18O7,4371570.0
275.99062,C12H4O8,3858068.0
276.027005,C13H8O7,46188716.0
276.06339,C14H12O6,72160424.0
276.08452,C11H16O8,9420686.0
276.099775,C15H16O5,47085820.0
276.120905,C12H20O7,3723728.0
276.13616,C16H20O4,21179382.0
277.022254,C12H7O7N1,4073179.0
276.027005,C13H8O7,6407719.0
277.058639,C13H11O6N1,10792602.0
276.06339,C14H12O6,10411240.0
277.095024,C14H15O5N1,7019707.0
276.099775,C15H16O5,6966967.0
278.00627,C12H6O8,16411011.0
278.042655,C13H10O7,79624680.0
278.07904,C14H14O6,112887440.0
278.115425,C15H18O5,63462372.0
278.15181,C16H22O4,15880085.0
279.037904,C12H9O7N1,6991823.0
278.042655,C13H10O7,9757866.0
279.074289,C13H13O6N1,11838174.0
