molecular weight,molecular formula,strength
142.02661,C6H6O4,3601042.0
148.05243,C9H8O2,4427520.0
150.031695,C8H6O3,5146782.999999999
150.06808,C9H10O2,10466041.0
152.047345,C8H8O3,10015663.0
152.08373,C9H12O2,4969816.000000001
154.02661,C7H6O4,12362785.0
154.062995,C8H10O3,6825640.0
156.04226,C7H8O4,5880667.0
158.021525,C6H6O5,5001448.999999999
160.05243,C10H8O2,4037985.0
162.031695,C9H6O3,8183487.0
162.06808,C10H10O2,6657249.0
164.01096,C8H4O4,5825141.0
164.047345,C9H8O3,10175121.0
164.08373,C10H12O2,7343493.999999999
166.02661,C8H6O4,10012155.0
166.062995,C9H10O3,10600985.0
166.09938,C10H14O2,5683206.0
168.04226,C8H8O4,13132774.0
168.078645,C9H12O3,7149935.0
170.021525,C7H6O5,6932745.0
170.05791,C8H10O4,6087407.0
172.037175,C7H8O5,6047482.0
172.07356,C8H12O4,3645882.0
174.031695,C10H6O3,4300578.0
174.06808,C11H10O2,7229792.0
176.047345,C10H8O3,12501478.0
176.08373,C11H12O2,7595370.000000001
178.02661,C9H6O4,16003316.0
178.062995,C10H10O3,13444589.0
178.09938,C11H14O2,8616613.000000002
180.005875,C8H4O5,6554294.0
180.04226,C9H8O4,15216979.0
180.078645,C10H12O3,12878556.0
180.11503,C11H16O2,6134436.0
182.021525,C8H6O5,10515625.0
182.05791,C9H10O4,13130487.0
182.094295,C10H14O3,9614960.999999998
184.037175,C8H8O5,11079021.0
184.07356,C9H12O4,8325201.0
186.052825,C8H10O5,6803308.0
186.08921,C9H14O4,3627261.0
188.03209,C7H8O6,3916770.0
188.047345,C11H8O3,12154898.0
188.08373,C12H12O2,7839739.0
190.02661,C10H6O4,15762543.0
190.062995,C11H10O3,17398292.0
190.09938,C12H14O2,9632368.000000002
192.005875,C9H4O5,9238391.0
192.078645,C11H12O3,15732753.0
192.11503,C12H16O2,8009970.0
194.021525,C9H6O5,16630250.0
194.05791,C10H10O4,21771900.0
194.094295,C11H14O3,17518294.0
194.13068,C12H18O2,3815406.0
196.037175,C9H8O5,18901488.0
196.07356,C10H12O4,17017204.0
196.109945,C11H16O3,9789376.999999998
198.01644,C8H6O6,10953937.0
198.052825,C9H10O5,12767368.0
198.08921,C10H14O4,9971318.000000002
200.03209,C8H8O6,6231810.0
200.068475,C9H12O5,8899509.0
200.08373,C13H12O2,5865204.0
200.10486,C10H16O4,3994825.0
202.02661,C11H6O4,10150575.0
202.04774,C8H10O6,4445444.0
202.062995,C12H10O3,14644082.0
202.09938,C13H14O2,5920530.0
204.005875,C10H4O5,9518408.0
204.04226,C11H8O4,26722960.0
204.078645,C12H12O3,17880692.0
204.11503,C13H16O2,8230317.0
206.021525,C10H6O5,25540764.0
206.05791,C11H10O4,25579236.0
206.094295,C12H14O3,18409804.0
206.13068,C13H18O2,6385336.0
206.167065,C14H22O1,6794324.0
207.053159,C10H9O4N1,3674141.0
208.00079,C9H4O6,11909762.0
208.037175,C10H8O5,23033050.0
208.07356,C11H12O4,21559268.0
208.109945,C12H16O3,17172386.0
210.052825,C10H10O5,23636286.0
210.08921,C11H14O4,21971358.0
210.125595,C12H18O3,7694674.000000001
212.03209,C9H8O6,13891940.0
212.068475,C10H12O5,18548670.0
212.10486,C11H16O4,15563821.0
214.02661,C12H6O4,7711713.0
214.04774,C9H10O6,9136579.0
214.062995,C13H10O3,12819015.0
214.084125,C10H14O5,13563253.0
214.09938,C14H14O2,5227515.0
214.12051,C11H18O4,3843637.0
216.027005,C8H8O7,3642355.0
216.04226,C12H8O4,19048678.0
216.06339,C9H12O6,7691689.0
216.078645,C13H12O3,15835304.0
216.11503,C14H16O2,5665093.0
218.021525,C11H6O5,17050182.0
218.05791,C12H10O4,30125244.0
218.094295,C13H14O3,17458414.0
218.13068,C14H18O2,6134848.0
219.053159,C11H9O4N1,4582334.0
218.05791,C12H10O4,3768201.0
220.00079,C10H4O6,5887846.0
220.037175,C11H8O5,32968262.0
220.07356,C12H12O4,31036406.0
220.109945,C13H16O3,19186398.0
220.037175,C11H8O5,4221078.0
221.068809,C11H11O4N1,3983232.0
222.01644,C10H6O6,28850108.0
222.052825,C11H10O5,29644620.0
222.08921,C12H14O4,31480936.0
222.125595,C13H18O3,12754615.0
223.048074,C10H9O5N1,3644020.0
222.08921,C12H14O4,4349408.0
223.995705,C9H4O7,6996138.0
224.068475,C11H12O5,29095366.0
224.10486,C12H16O4,28079336.0
224.141245,C13H20O3,4426069.0
224.068475,C11H12O5,3630374.0
226.04774,C10H10O6,19262852.0
226.084125,C11H14O5,29631142.0
226.12051,C12H18O4,13098386.0
226.084125,C11H14O5,3635121.0
228.027005,C9H8O7,6768193.0
228.04226,C13H8O4,15086488.0
228.06339,C10H12O6,18806382.0
228.078645,C14H12O3,10400363.0
228.099775,C11H16O5,21741510.0
228.11503,C15H16O2,4196207.0
229.167794,C12H23O3N1,6544744.0
230.021525,C12H6O5,15356512.0
230.05791,C13H10O4,22611872.0
230.07904,C10H14O6,14313668.0
230.094295,C14H14O3,13225536.0
230.115425,C11H18O5,4430704.0
230.13068,C15H18O2,3963357.0
231.053159,C12H9O4N1,3728229.0
232.00079,C11H4O6,6763428.0
232.037175,C12H8O5,29327060.0
232.07356,C13H12O4,30881516.0
232.109945,C14H16O3,14362527.0
232.14633,C15H20O2,3694723.0
232.037175,C12H8O5,3799197.0
233.068809,C12H11O4N1,4600534.0
232.07356,C13H12O4,3894106.0
234.01644,C11H6O6,19907134.0
234.052825,C12H10O5,38076340.0
234.08921,C13H14O4,31112754.0
234.125595,C14H18O3,13452953.0
234.16198,C15H22O2,8127191.0
234.052825,C12H10O5,4908073.0
235.084459,C12H13O4N1,4667401.0
234.08921,C13H14O4,4509530.0
235.995705,C10H4O7,6136817.0
236.03209,C11H8O6,33353384.0
236.068475,C12H12O5,38822320.0
236.10486,C13H16O4,34177592.0
236.141245,C14H20O3,8564777.000000002
237.063724,C11H11O5N1,4306905.000000001
236.068475,C12H12O5,4545630.0
236.10486,C13H16O4,4744343.0
238.037192,C5H10O5N4S1,4222188.0
238.04774,C11H10O6,32570902.0
238.084125,C12H14O5,42233100.00000001
238.12051,C13H18O4,25141682.0
238.04774,C11H10O6,3669547.0
239.079374,C11H13O5N1,4079950.0
238.084125,C12H14O5,5122827.0
238.12051,C13H18O4,3916105.0
240.04226,C14H8O4,9908218.0
240.06339,C11H12O6,31638588.0
240.099775,C12H16O5,44780652.0
240.13616,C13H20O4,9761474.0
240.099775,C12H16O5,5930634.0
242.021525,C13H6O5,7768010.0
242.042655,C10H10O7,13236958.0
242.05791,C14H10O4,17415248.0
242.07904,C11H14O6,37974168.0
242.094295,C15H14O3,10281842.0
242.115425,C12H18O5,20186200.0
243.053159,C13H9O4N1,3945841.0
242.07904,C11H14O6,4648367.999999999
243.183444,C13H25O3N1,22625856.0
244.037175,C13H8O5,24937400.0
244.058305,C10H12O7,12762978.0
244.07356,C14H12O4,24059166.0
244.09469,C11H16O6,24862294.0
244.109945,C15H16O3,10678727.0
245.068809,C13H11O4N1,4752538.0
246.01644,C12H6O6,17612072.0
246.052825,C13H10O5,38276096.0
246.056196,C10H14O5S1,4082832.0
246.08921,C14H14O4,25361344.0
246.11034,C11H18O6,4446872.0
246.125595,C15H18O3,12266797.0
247.048074,C12H9O5N1,5271638.0
246.052825,C13H10O5,4720569.0
247.084459,C13H13O4N1,4014316.0
246.08921,C14H14O4,4651312.000000001
247.995705,C11H4O7,6809474.0
248.03209,C12H8O6,36494928.0
248.068475,C13H12O5,45579840.0
