weight,molecular,strength,C,H,O,N,S,P,Cl,Br,I,DBE,O/C,H/C,N/C,S/C,P/C,Cl/C,Br/C,I/C,Almod,NOSC,X/C,DBE-O,DBE/C
266.155181,C12H26O4S1,42221856.0,12,26,4,0,1,0,0,0,0,0.0,0.3333333333333333,2.1666666666666665,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.333333333333333,0.0,-4.0,0.0
271.178359,C14H25O4N1,3866506.0,14,25,4,1,0,0,0,0,0,3.0,0.2857142857142857,1.7857142857142858,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.21428571428571427
276.175916,C14H28O3S1,6652213.0,14,28,3,0,1,0,0,0,0,1.0,0.21428571428571427,2.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,-0.13043478260869565,-1.4285714285714288,0.0,-2.0,0.07142857142857142
294.18311,C17H26O4,18473190.0,17,26,4,0,0,0,0,0,0,5.0,0.23529411764705882,1.5294117647058822,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.0588235294117645,0.0,1.0,0.29411764705882354
294.186481,C14H30O4S1,16494797.0,14,30,4,0,1,0,0,0,0,0.0,0.2857142857142857,2.142857142857143,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,-0.2727272727272727,-1.4285714285714288,0.0,-4.0,0.0
298.160266,C16H26O3S1,18201012.0,16,26,3,0,1,0,0,0,0,4.0,0.1875,1.625,0.0,0.0625,0.0,0.0,0.0,0.0,0.1111111111111111,-1.125,0.0,1.0,0.25
310.181395999999,C14H30O5S1,19243582.0,14,30,5,0,1,0,0,0,0,0.0,0.35714285714285715,2.142857142857143,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.2857142857142856,0.0,-5.0,0.0
312.175916,C17H28O3S1,42250688.0,17,28,3,0,1,0,0,0,0,4.0,0.17647058823529413,1.6470588235294117,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.10344827586206896,-1.1764705882352944,0.0,1.0,0.23529411764705882
326.191566,C18H30O3S1,33920931.9999999,18,30,3,0,1,0,0,0,0,4.0,0.16666666666666666,1.6666666666666667,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0967741935483871,-1.2222222222222223,0.0,1.0,0.2222222222222222
331.214744,C20H29O3N1,4600059.0,20,29,3,1,0,0,0,0,0,7.0,0.15,1.45,0.05,0.0,0.0,0.0,0.0,0.0,0.2571428571428571,-1.0,0.0,4.0,0.35
338.212696,C16H34O5S1,7467403.0,16,34,5,0,1,0,0,0,0,0.0,0.3125,2.125,0.0,0.0625,0.0,0.0,0.0,0.0,-0.28,-1.375,0.0,-5.0,0.0
340.207216,C19H32O3S1,24323058.0,19,32,3,0,1,0,0,0,0,4.0,0.15789473684210525,1.6842105263157894,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.09090909090909091,-1.2631578947368425,0.0,1.0,0.21052631578947367
354.207611,C16H34O6S1,13154908.0,16,34,6,0,1,0,0,0,0,0.0,0.375,2.125,0.0,0.0625,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.25,0.0,-6.0,0.0
382.238911,C18H38O6S1,5062080.0,18,38,6,0,1,0,0,0,0,0.0,0.3333333333333333,2.111111111111111,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,-0.2857142857142857,-1.333333333333333,0.0,-6.0,0.0
398.233826,C18H38O7S1,7998559.0,18,38,7,0,1,0,0,0,0,0.0,0.3888888888888889,2.111111111111111,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.2222222222222223,0.0,-7.0,0.0
442.260041,C20H42O8S1,4278566.0,20,42,8,0,1,0,0,0,0,0.0,0.4,2.1,0.0,0.05,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.2000000000000002,0.0,-8.0,0.0
450.156838,C20H34O5S3,24217742.0,20,34,5,0,3,0,0,0,0,4.0,0.25,1.7,0.0,0.15,0.0,0.0,0.0,0.0,-0.10344827586206896,-0.9000000000000004,0.0,-1.0,0.2
676.309495,C35H48O13,4145373.0,35,48,13,0,0,0,0,0,0,12.0,0.37142857142857144,1.3714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.19298245614035087,-0.628571428571429,0.0,-1.0,0.34285714285714286
144.078645,C7H12O3,4219154.0,7,12,3,0,0,0,0,0,0,2.0,0.42857142857142855,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,-0.8571428571428568,0.0,-1.0,0.2857142857142857
148.088815,C10H12O1,4100809.0,10,12,1,0,0,0,0,0,0,5.0,0.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,-1.0,0.0,4.0,0.5
158.094295,C8H14O3,4467756.0,8,14,3,0,0,0,0,0,0,2.0,0.375,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,-1.0,0.0,-1.0,0.25
158.13068,C9H18O2,4648925.0,9,18,2,0,0,0,0,0,0,1.0,0.2222222222222222,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5555555555555554,0.0,-1.0,0.1111111111111111
160.088815,C11H12O1,3141236.0,11,12,1,0,0,0,0,0,0,6.0,0.09090909090909091,1.0909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,-0.9090909090909092,0.0,5.0,0.5454545454545454
162.104465,C11H14O1,4411160.0,11,14,1,0,0,0,0,0,0,5.0,0.09090909090909091,1.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,-1.0909090909090908,0.0,4.0,0.45454545454545453
164.120115,C11H16O1,4396848.0,11,16,1,0,0,0,0,0,0,4.0,0.09090909090909091,1.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-1.2727272727272725,0.0,3.0,0.36363636363636365
172.109945,C9H16O3,4208798.99999999,9,16,3,0,0,0,0,0,0,2.0,0.3333333333333333,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,-1.1111111111111107,0.0,-1.0,0.2222222222222222
174.104465,C12H14O1,3084502.0,12,14,1,0,0,0,0,0,0,6.0,0.08333333333333333,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,-1.0,0.0,5.0,0.5
176.120115,C12H16O1,3928097.0,12,16,1,0,0,0,0,0,0,5.0,0.08333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.391304347826087,-1.166666666666667,0.0,4.0,0.4166666666666667
178.135765,C12H18O1,2924838.0,12,18,1,0,0,0,0,0,0,4.0,0.08333333333333333,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,-1.333333333333333,0.0,3.0,0.3333333333333333
179.058244,C9H9O3N1,2969028.0,9,9,3,1,0,0,0,0,0,6.0,0.3333333333333333,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,3.0,0.6666666666666666
182.13068,C11H18O2,3324834.0,11,18,2,0,0,0,0,0,0,3.0,0.18181818181818182,1.6363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.2727272727272725,0.0,1.0,0.2727272727272727
183.053159,C8H9O4N1,3060120.0,8,9,4,1,0,0,0,0,0,5.0,0.5,1.125,0.125,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.0,1.0,0.625
190.084125,C8H14O5,3022367.0,8,14,5,0,0,0,0,0,0,2.0,0.625,1.75,0.0,0.0,0.0,0.0,0.0,0.0,-0.09090909090909091,-0.5,0.0,-3.0,0.25
195.089544,C10H13O3N1,2925647.0,10,13,3,1,0,0,0,0,0,5.0,0.3,1.3,0.1,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.40000000000000036,0.0,2.0,0.5
200.014331,C8H8O4S1,3704713.0,8,8,4,0,1,0,0,0,0,5.0,0.5,1.0,0.0,0.125,0.0,0.0,0.0,0.0,0.4,0.25,0.0,1.0,0.625
204.099775,C9H16O5,5446226.0,9,16,5,0,0,0,0,0,0,2.0,0.5555555555555556,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,-0.07692307692307693,-0.666666666666667,0.0,-3.0,0.2222222222222222
214.062995,C13H10O3,5039085.0,13,10,3,0,0,0,0,0,0,9.0,0.23076923076923078,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.6521739130434783,-0.3076923076923075,0.0,6.0,0.6923076923076923
215.152144,C11H21O3N1,3525060.0,11,21,3,1,0,0,0,0,0,2.0,0.2727272727272727,1.9090909090909092,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,-0.058823529411764705,-1.0909090909090908,0.0,-1.0,0.18181818181818182
216.13616,C11H20O4,4110346.0,11,20,4,0,0,0,0,0,0,2.0,0.36363636363636365,1.8181818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0909090909090908,0.0,-2.0,0.18181818181818182
219.089544,C12H13O3N1,3324820.0,12,13,3,1,0,0,0,0,0,7.0,0.25,1.0833333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,-0.33333333333333304,0.0,4.0,0.5833333333333334
222.16198,C14H22O2,4421062.0,14,22,2,0,0,0,0,0,0,4.0,0.14285714285714285,1.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,-1.2857142857142856,0.0,2.0,0.2857142857142857
226.062995,C14H10O3,3924076.0,14,10,3,0,0,0,0,0,0,10.0,0.21428571428571427,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.68,-0.2857142857142856,0.0,7.0,0.7142857142857143
226.156895,C13H22O3,3072685.0,13,22,3,0,0,0,0,0,0,3.0,0.23076923076923078,1.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,-1.2307692307692308,0.0,0.0,0.23076923076923078
227.188529,C13H25O2N1,4464388.0,13,25,2,1,0,0,0,0,0,2.0,0.15384615384615385,1.9230769230769231,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,-1.384615384615385,0.0,0.0,0.15384615384615385
229.095024,C10H15O5N1,3226221.0,10,15,5,1,0,0,0,0,0,4.0,0.5,1.5,0.1,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,-0.20000000000000018,0.0,-1.0,0.4
230.15181,C12H22O4,3407146.0,12,22,4,0,0,0,0,0,0,2.0,0.3333333333333333,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.166666666666667,0.0,-2.0,0.16666666666666666
232.131075,C11H20O5,3097039.0,11,20,5,0,0,0,0,0,0,2.0,0.45454545454545453,1.8181818181818181,0.0,0.0,0.0,0.0,0.0,0.0,-0.058823529411764705,-0.9090909090909092,0.0,-3.0,0.18181818181818182
239.115759,C12H17O4N1,3011785.0,12,17,4,1,0,0,0,0,0,5.0,0.3333333333333333,1.4166666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,-0.5,0.0,1.0,0.4166666666666667
243.110674,C11H17O5N1,3105900.0,11,17,5,1,0,0,0,0,0,4.0,0.45454545454545453,1.5454545454545454,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,-0.3636363636363633,0.0,-1.0,0.36363636363636365
