,dbe1,dbe2,dbe3,dbe4,dbe5,dbe6,dbe7,dbe8,dbe9,dbe10,dbe11,dbe12,dbe13,dbe14,dbe15,dbe16,dbe17,dbe18,dbe19,dbe20
N4O7,0,0,3377512,0,77318371,17591995,0,7544222,25050697,10360468,9528957,6416731,5347589,0,2932880,2922794,0,0,0,0
N4O10,10032443,0,0,0,5507317,3386724,0,0,0,0,0,2928683,0,0,0,0,0,0,0,0
N5O8,0,0,0,0,0,11665372,0,0,14333119,0,0,0,7872940,3035407,0,0,3994388,0,0,0
N5O7,0,5067326,0,0,0,0,0,0,0,0,0,2721270,2712322,3613148,0,3309163,0,0,0,0
N4O11,0,0,0,0,0,6249376,0,0,2761599,0,11915959,8419414,0,0,2690149,6122174,6554541,0,0,0
N3O8,4828305,4700469,0,0,21767221,11941954,6808772,0,18880956,3226257,10931010,14199580,11777591,0,0,0,0,0,0,0
N2O9,2659130,13148503,2801229,11125314,0,2567359,11656251,12093258,13321109,21837706,13641624,6343618,6188415,0,7279991,0,2726162,0,2991681,0
N4O9,0,0,0,0,4558576,22721931,13284899,11181566,0,5416511,2860450,0,2611494,0,0,0,0,0,0,0
N4O8,0,0,0,0,15143029,2656586,6821067,10318262,19338586,6120299,14083221,0,10752205,3030038,2771517,0,0,0,0,5194432
S1O11,5872643,4108561,0,2736027,7428092,6447724,8638025,5744508,11684133,6470280,6251008,2945990,0,0,0,0,0,2774125,0,0
N1O11,0,0,0,0,27179986,0,2672364,7380078,23663085,13386949,7203156,17331045,3076080,0,5579079,8297065,6667239,6947156,6459405,7409715
N5O6,0,0,0,0,0,0,0,0,0,0,0,9961088,0,0,0,0,0,0,0,0
N3O9,0,2774392,2831719,0,5491464,7213643,4254491,6256940,0,7083623,3725380,3414019,5529561,6205097,2862520,0,0,0,0,0
N4O12,0,0,0,0,0,0,0,0,6614666,3429227,0,2898072,7601828,0,0,0,0,0,0,0
N2O10,2762784,5053694,16493254,12133543,0,0,0,0,3087313,10350178,17209231,5731424,0,0,2947299,3259646,0,2610878,0,0
N5O9,0,44644116,0,0,0,8615405,4183234,0,0,0,0,0,0,0,2935104,0,0,0,0,0
N5O10,0,10519132,2712681,0,0,0,0,0,10926461,0,0,0,0,0,0,0,0,0,0,0
N4O13,0,3354208,0,0,0,0,2786760,3461697,0,0,2661594,0,6654937,0,0,0,0,0,0,2739416
N2O14,0,0,2597850,0,0,8415010,2560050,0,3937544,0,0,0,0,0,0,0,0,0,0,0
N1O12,0,0,0,0,0,0,0,2834627,6083826,2872430,5557456,2866252,3651145,6542500,0,0,3085396,0,6504226,7231750
N2O11,18721614,0,0,24526432,0,3911849,0,0,0,2881692,9328260,6113512,0,3091727,2719938,0,0,0,6327603,2724144
N2O13,110924090,0,0,0,4512431,0,37200072,0,0,0,0,0,18612266,0,0,0,0,0,0,2557700
S1O12,0,0,11543428,3070834,0,0,0,2781613,2647672,3153119,2878151,2816664,5244472,0,0,0,0,3145193,0,3179953
N2O12,2740892,0,0,0,0,89799664,4086481,0,0,0,5806922,5962025,0,2620329,0,0,5971317,0,0,0
N5O12,0,0,0,0,0,0,0,0,0,0,0,0,3387843,0,0,0,0,0,0,0
N5O11,2905038,8144347,0,0,0,2963902,4598290,0,0,0,0,0,0,0,0,0,0,0,0,0
N3O10,0,0,0,0,0,2727034,0,0,5106786,0,3298052,5359856,5660135,0,0,0,0,0,0,0
N1O14,0,0,0,0,0,0,0,0,0,0,0,0,0,5345308,0,0,0,0,0,0
S1O13,0,10609105,5280413,0,3680191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3O14,0,0,0,3352770,0,0,2702258,0,0,0,0,0,0,0,0,0,0,0,0,0
N1O15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1O15,0,0,0,0,0,2835674,0,0,0,0,0,0,0,0,0,6036996,0,0,0,0
N3O11,0,0,0,0,0,0,11508138,0,0,0,0,0,0,2854242,2903812,0,0,0,0,0
S1O14,0,0,0,0,0,0,0,0,0,2651443,0,0,0,0,0,0,0,0,0,0
S1O17,0,0,0,0,0,0,0,0,0,5754633,0,0,0,0,0,0,0,0,0,0
N1O13,0,0,0,0,0,0,0,0,0,0,0,0,5858240,0,2585711,0,0,0,0,4044892
N5O14,0,0,0,0,0,0,0,0,33178050,0,0,0,0,0,3405273,0,0,0,0,0
N3O12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2763234,0,0,0,0
N2O15,0,2650091,0,0,0,0,0,0,0,8266414,0,0,0,0,0,0,0,0,0,0
N3O19,0,0,2631103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N5O15,0,2703740,0,0,0,0,2638781,0,0,0,0,0,0,0,0,0,0,0,0,0
N2O20,0,0,2975414,0,2767951,0,0,0,0,0,0,0,0,0,0,0,0,0,2712591,0
N3O20,0,0,0,0,0,2564172,2624110,0,0,0,0,0,0,0,0,0,0,0,0,0
N5O13,0,0,0,0,0,0,0,0,0,0,0,2670847,0,0,0,0,0,0,0,0
N3O13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2O21,0,0,0,0,0,0,0,0,0,0,0,0,0,2778533,0,0,0,0,0,0
N4O16,0,0,0,0,0,3067151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1O17,0,0,0,2532633,0,0,0,0,0,0,0,0,2688788,0,0,0,0,0,0,0
N2O19,0,0,0,0,0,0,0,0,0,2533801,0,0,0,0,0,0,0,0,0,0
N3O2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N5O16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2558417,0,0,0
N1O19,0,3338668,0,0,0,0,0,0,0,0,2875075,0,0,0,0,0,4267098,0,0,0
N4O14,0,0,0,0,0,3322023,0,0,0,0,0,0,0,0,0,0,0,2906815,2986310,0
N2O24,2935952,0,0,0,0,0,0,0,0,0,0,0,2695649,0,0,0,0,0,0,0
N1O24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3O18,0,0,0,0,0,0,0,0,0,2764126,0,0,0,0,0,0,0,0,0,0
N1O21,0,0,0,3365437,0,0,0,0,0,0,0,2610177,0,0,0,0,0,0,0,0
S1O24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4O20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2945392,0,0,0,0,0
N1O20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2O22,0,0,0,0,0,0,0,0,0,0,0,0,3255612,0,0,0,0,0,0,0
N2O18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5110353,0,0,0,0
N3O22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N5O17,0,0,0,0,0,0,0,0,0,0,0,0,2593827,0,0,0,0,0,0,0
N1O18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2578451,0,0,0,0
