mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,NSP,abserrPpm,sumintens,relativeintens,avemass,dbe_o,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
409.33,2065967,193.090378,193.090389,0.011,0.057,C8 H17 O3 S,8,17,0,3,1,18,2.25,0.375,18,1,0.057,61527170297,3.35781E-05,360.8341791,-3,-0.454545455,0,-1.25,0.125217453,193,1.408812046,192,0.02287785,193,0.151775049,193,0.135033919,193
490.02,6106642,194.045871,194.045881,0.01,0.051,C9 H8 N O4,9,8,1,4,0,9,1,0.444444444,21,1,0.051,61527170297,9.92511E-05,360.8341791,2,0.5,6,0.222222222,0.170792364,194,1.46073872,193,0.067946341,194,0.107570812,194,0.090746841,194
-1000,2715182,194.082245,194.082267,0.022,0.115,C10 H12 N O3,10,12,1,3,0,13,1.3,0.3,23,1,0.115,61527170297,4.41298E-05,360.8341791,2,0.333333333,5,-0.4,0.134446993,194,1.424635229,193,0.031581686,194,0.14396838,194,0.127141253,194
-1000,6634768,195.029882,195.029897,0.015,0.079,C9 H7 O5,9,7,0,5,0,8,0.888888889,0.555555556,20,0,0.079,61527170297,0.000107835,360.8341791,1,0.538461538,6,0.222222222,0.187875125,195,1.484362861,194,0.084507565,195,0.091899644,195,0.074990357,195
456.1,3105567,195.048524,195.048524,0,0.001,C10 H11 O2 S,10,11,0,2,1,12,1.2,0.2,22,1,0.001,61527170297,5.04747E-05,360.8341791,3,0.375,5,-0.6,0.169268924,195,1.465880485,194,0.065891492,195,0.110532566,195,0.093621664,195
92.69,14702893,195.06627,195.066282,0.013,0.065,C10 H11 O4,10,11,0,4,0,12,1.2,0.4,22,0,0.065,61527170297,0.000238966,360.8341791,1,0.375,5,-0.4,0.151530753,195,1.448260363,194,0.048143909,195,0.128296212,195,0.11138377,195
-1000,3755849,195.102662,195.102668,0.006,0.029,C11 H15 O3,11,15,0,3,0,16,1.454545455,0.272727273,24,0,0.029,61527170297,6.10437E-05,360.8341791,1,0.263157895,4,-0.909090909,0.115185382,195,1.412156872,194,0.011779253,195,0.164693779,195,0.147778183,195
-1000,2696038,195.139068,195.139053,-0.015,-0.075,C12 H19 O2,12,19,0,2,0,20,1.666666667,0.166666667,26,0,0.075,61527170297,4.38187E-05,360.8341791,1,0.181818182,3,-1.333333333,0.07884101,195,1.376054375,194,0.024584404,195,0.201090347,195,0.184171596,195
-1000,2097026,195.175407,195.175439,0.032,0.163,C13 H23 O,13,23,0,1,0,24,1.846153846,0.076923077,28,0,0.163,61527170297,3.40829E-05,360.8341791,1,0.12,2,-1.692307692,0.042495639,195,1.339950884,194,0.06094906,195,0.237487914,195,0.220566009,195
358.67,3057181,196.025135,196.025146,0.011,0.055,C8 H6 N O5,8,6,1,5,0,7,0.875,0.625,19,1,0.055,61527170297,4.96883E-05,360.8341791,1,0.555555556,6,0.75,0.193737429,196,1.496841217,195,0.089842379,196,0.087465047,196,0.070469471,196
605.91,3110970,196.061543,196.061531,-0.012,-0.059,C9 H10 N O4,9,10,1,4,0,11,1.222222222,0.444444444,21,1,0.059,61527170297,5.05625E-05,360.8341791,1,0.333333333,5,0,0.157393057,196,1.46073872,195,0.053478722,196,0.123861615,196,0.106862884,196
524.12,2251559,197.009149,197.009161,0.012,0.063,C8 H5 O6,8,5,0,6,0,6,0.75,0.75,18,0,0.063,61527170297,3.65945E-05,360.8341791,0,0.6,6,0.75,0.210821189,197,1.520466351,195,0.106404602,197,0.071792879,197,0.054711988,197
399.16,2163509,197.027722,197.027789,0.067,0.341,C9 H9 O3 S,9,9,0,3,1,10,1.111111111,0.333333333,20,1,0.341,61527170297,3.51635E-05,360.8341791,2,0.384615385,5,-0.222222222,0.192213989,197,1.501982983,195,0.087787529,197,0.090426801,197,0.073344295,197
-1000,7206724,197.045511,197.045547,0.036,0.184,C9 H9 O5,9,9,0,5,0,10,1.111111111,0.555555556,20,0,0.184,61527170297,0.000117131,360.8341791,0,0.384615385,5,0,0.174475818,197,1.484362861,196,0.070039946,197,0.108190447,197,0.091106401,197
395.22,15347538,197.06417,197.064174,0.004,0.02,C10 H13 O2 S,10,13,0,2,1,14,1.4,0.2,22,1,0.02,61527170297,0.000249443,360.8341791,2,0.25,4,-0.8,0.155869617,197,1.465880485,196,0.051423873,197,0.126823369,197,0.109737708,197
87.2,19193696,197.081913,197.081932,0.019,0.096,C10 H13 O4,10,13,0,4,0,14,1.4,0.4,22,0,0.096,61527170297,0.000311955,360.8341791,0,0.25,4,-0.6,0.138131446,197,1.448260363,196,0.033676289,197,0.144587014,197,0.127499814,197
-1000,3838333,197.118293,197.118318,0.025,0.126,C11 H17 O3,11,17,0,3,0,18,1.636363636,0.272727273,24,0,0.126,61527170297,6.23844E-05,360.8341791,0,0.157894737,3,-1.090909091,0.101786075,197,1.412156872,196,0.002688367,197,0.180984582,197,0.163894227,197
466.4,2532956,198.040812,198.040796,-0.016,-0.082,C8 H8 N O5,8,8,1,5,0,9,1.125,0.625,19,1,0.082,61527170297,4.11681E-05,360.8341791,0,0.333333333,5,0.5,0.180338122,198,1.496841217,197,0.075374759,198,0.10375585,198,0.086585515,198
322.86,2613846,198.992944,198.993135,0.191,0.96,C5 H3 N4 O3 S,5,3,4,3,1,4,0.8,0.6,16,5,0.96,61527170297,4.24828E-05,360.8341791,3,0.333333333,6,3.2,0.229062512,199,1.551896411,197,0.123594401,199,0.056397611,199,0.039144708,199
224.21,5137762,199.007039,199.007053,0.014,0.071,C8 H7 O4 S,8,7,0,4,1,8,1,0.5,18,1,0.071,61527170297,8.3504E-05,360.8341791,1,0.4,5,0.25,0.215160053,199,1.538086473,197,0.109684566,199,0.070320036,199,0.053065926,199
711.67,2651504,199.024805,199.024812,0.006,0.032,C8 H7 O6,8,7,0,6,0,8,1,0.75,18,0,0.032,61527170297,4.30948E-05,360.8341791,-1,0.4,5,0.5,0.197420883,199,1.520465359,197,0.091935983,199,0.088084682,199,0.070829032,199
358.15,3121535,199.043396,199.043439,0.043,0.218,C9 H11 O3 S,9,11,0,3,1,12,1.333333333,0.333333333,20,1,0.218,61527170297,5.07343E-05,360.8341791,1,0.230769231,4,-0.444444444,0.178814682,199,1.501982983,197,0.07331991,199,0.106717604,199,0.089460339,199
