mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,NSP,abserrPpm,sumintens,relativeintens,avemass,dbe_o,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
400.72,3769118,179.056112,179.056112,-0.001,-0.003,C14H19NO10,6,11,0,6,0,12,2,1,14,0,0.003,74423097888,5.09E-05,417.4783194,-5,-0.666666667,1,0,0.143823654,179,1.334123484,178,0.048922341,179,0.113036362,179,0.097512018,179
-1000,8585473,179.07137,179.071368,-0.002,-0.011,C14H22O9,10,11,0,3,0,12,1.2,0.3,22,0,0.011,74423097888,0.000154902,417.4783194,2,0.411764706,5,-0.6,0.128584689,179,1.318985935,178,0.03367529,179,0.128297212,179,0.112771545,179
6.36,9923615,181.01424,181.014247,0.007,0.04,C11H17NO6,8,5,0,5,0,6,0.75,0.625,18,0,0.04,74423097888,0.000510347,417.4783194,1,0.636363636,6,0.5,0.187875125,181,1.391191923,180,0.091935983,181,0.071793879,181,0.056099763,181
2.8,5114231,181.050625,181.050632,0.008,0.043,C31H32O13,9,9,0,4,0,10,1.111111111,0.444444444,20,0,0.043,74423097888,0.002237068,417.4783194,1,0.428571429,5,-0.222222222,0.151530753,181,1.355089425,180,0.055572327,181,0.108190447,181,0.092493176,181
262.97,6484337,181.087019,181.087018,-0.001,-0.006,C30H28O14,10,13,0,3,0,14,1.4,0.3,22,0,0.006,74423097888,5.15E-05,417.4783194,1,0.294117647,4,-0.8,0.115185382,181,1.318985935,180,0.019207671,181,0.144588014,181,0.128887589,181
-1000,3138724,182.993563,182.993511,-0.052,-0.283,C31H36O12,7,3,0,6,0,4,0.571428571,0.857142857,16,0,0.283,74423097888,2.79E-05,417.4783194,0,0.75,6,1.142857143,0.210821189,183,1.427295413,182,0.11383302,183,0.051687114,183,0.035821394,183
11.41,5216008,183.029896,183.029897,0.001,0.003,C30H30O13,8,7,0,5,0,8,1,0.625,18,0,0.003,74423097888,0.000570245,417.4783194,0,0.454545455,5,0.25,0.174475818,183,1.391191923,182,0.077468364,183,0.088084682,183,0.072215807,183
8.45,5254431,183.06628,183.066282,0.002,0.011,C30H34O12,9,11,0,4,0,12,1.333333333,0.444444444,20,0,0.011,74423097888,0.00032214,417.4783194,0,0.285714286,4,-0.444444444,0.138131446,183,1.355089425,182,0.041104707,183,0.124481249,183,0.10860922,183
11.13,6900114,185.045537,185.045547,0.01,0.052,C29H26O13,8,9,0,5,0,10,1.25,0.625,18,0,0.052,74423097888,0.000753316,417.4783194,-1,0.272727273,4,0,0.161076511,185,1.391191923,184,0.063000744,185,0.104375484,185,0.088331851,185
245.47,7090570,185.081926,185.081932,0.006,0.033,C28H22O14,9,13,0,4,0,14,1.555555556,0.444444444,20,0,0.033,74423097888,6.45E-05,417.4783194,-1,0.142857143,3,-0.666666667,0.124732139,185,1.355089425,184,0.026637088,185,0.140772052,185,0.124725263,185
