Source,Target,Type,Id,Label,Weight,colour
C15H15O7N1,C19H23O9N1,Directed,111,,1,1
C15H19O5N3,C19H27O7N3,Directed,112,,1,1
C17H23O5N1,C21H31O7N1,Directed,113,,1,1
C18H27O4N1,C22H35O6N1,Directed,114,,1,1
C14H14O7N2,C18H22O9N2,Directed,115,,1,1
C15H18O6N2,C19H26O8N2,Directed,116,,1,1
C16H21O6N1,C20H29O8N1,Directed,117,,1,1
C18H29O4N1,C22H37O6N1,Directed,118,,1,1
C10H16O8N2S1,C14H24O10N2S1,Directed,119,,1,1
C14H16O7N2,C18H24O9N2,Directed,120,,1,1
C13H16O6N4,C17H24O8N4,Directed,121,,1,1
C14H20O5N4,C18H28O7N4,Directed,122,,1,1
C15H24O4N4,C19H32O6N4,Directed,123,,1,1
C14H15O8N1,C18H23O10N1,Directed,124,,1,1
C17H15O4N3,C21H23O6N3,Directed,125,,1,1
C15H19O7N1,C19H27O9N1,Directed,126,,1,1
C14H19O6N3,C18H27O8N3,Directed,127,,1,1
C16H23O6N1,C20H31O8N1,Directed,128,,1,1
C15H23O5N3,C19H31O7N3,Directed,129,,1,1
C17H27O5N1,C21H35O7N1,Directed,130,,1,1
C13H18O6N4,C17H26O8N4,Directed,131,,1,1
C17H18O3N4,C21H26O5N4,Directed,132,,1,1
C14H17O8N1,C18H25O10N1,Directed,133,,1,1
C17H17O4N3,C21H25O6N3,Directed,134,,1,1
C14H21O6N3,C18H29O8N3,Directed,135,,1,1
C16H25O6N1,C20H33O8N1,Directed,136,,1,1
C15H25O5N3,C19H33O7N3,Directed,137,,1,1
C17H29O5N1,C21H37O7N1,Directed,138,,1,1
C17H16O5N2,C21H24O7N2,Directed,139,,1,1
C16H16O4N4,C20H24O6N4,Directed,140,,1,1
C13H20O6N4,C17H28O8N4,Directed,141,,1,1
C13H15O9N1,C17H23O11N1,Directed,142,,1,1
C17H15O6N1,C21H23O8N1,Directed,143,,1,1
C16H15O5N3,C20H23O7N3,Directed,144,,1,1
C14H19O8N1,C18H27O10N1,Directed,145,,1,1
C17H19O4N3,C21H27O6N3,Directed,146,,1,1
C18H23O3N3,C22H31O5N3,Directed,147,,1,1
C16H14O6N2,C20H22O8N2,Directed,148,,1,1
C16H18O4N4,C20H26O6N4,Directed,149,,1,1
C15H13O6N3,C19H21O8N3,Directed,150,,1,1
C17H17O6N1,C21H25O8N1,Directed,151,,1,1
C16H17O5N3,C20H25O7N3,Directed,152,,1,1
C13H21O7N3,C17H29O9N3,Directed,153,,1,1
C17H21O4N3,C21H29O6N3,Directed,154,,1,1
C15H12O7N2,C19H20O9N2,Directed,155,,1,1
C16H16O6N2,C20H24O8N2,Directed,156,,1,1
C15H16O5N4,C19H24O7N4,Directed,157,,1,1
C16H20O4N4,C20H28O6N4,Directed,158,,1,1
C16H15O7N1,C20H23O9N1,Directed,159,,1,1
C15H15O6N3,C19H23O8N3,Directed,160,,1,1
C16H19O5N3,C20H27O7N3,Directed,161,,1,1
C15H14O7N2,C19H22O9N2,Directed,162,,1,1
C16H18O6N2,C20H26O8N2,Directed,163,,1,1
C15H18O5N4,C19H26O7N4,Directed,164,,1,1
C16H22O4N4,C20H30O6N4,Directed,165,,1,1
C14H13O7N3,C18H21O9N3,Directed,166,,1,1
C16H17O7N1,C20H25O9N1,Directed,167,,1,1
C15H17O6N3,C19H25O8N3,Directed,168,,1,1
C16H21O5N3,C20H29O7N3,Directed,169,,1,1
C14H12O6N2S1,C18H20O8N2S1,Directed,170,,1,1
C15H16O7N2,C19H24O9N2,Directed,171,,1,1
C15H20O5N4,C19H28O7N4,Directed,172,,1,1
C16H24O4N4,C20H32O6N4,Directed,173,,1,1
C16H19O7N1,C20H27O9N1,Directed,174,,1,1
C15H19O6N3,C19H27O8N3,Directed,175,,1,1
C14H19O5N5,C18H27O7N5,Directed,176,,1,1
C19H19O3N3,C23H27O5N3,Directed,177,,1,1
C17H23O6N1,C21H31O8N1,Directed,178,,1,1
C18H27O5N1,C22H35O7N1,Directed,179,,1,1
C15H18O7N2,C19H26O9N2,Directed,180,,1,1
C15H22O5N4,C19H30O7N4,Directed,181,,1,1
C16H26O4N4,C20H34O6N4,Directed,182,,1,1
C15H17O8N1,C19H25O10N1,Directed,183,,1,1
C18H17O4N3,C22H25O6N3,Directed,184,,1,1
C16H21O7N1,C20H29O9N1,Directed,185,,1,1
C17H25O6N1,C21H33O8N1,Directed,186,,1,1
C14H20O6N4,C18H28O8N4,Directed,187,,1,1
C15H24O5N4,C19H32O7N4,Directed,188,,1,1
C14H15O9N1,C18H23O11N1,Directed,189,,1,1
C17H15O5N3,C21H23O7N3,Directed,190,,1,1
C16H23O7N1,C20H31O9N1,Directed,191,,1,1
C15H23O6N3,C19H31O8N3,Directed,192,,1,1
C17H27O6N1,C21H35O8N1,Directed,193,,1,1
C16H14O5N4,C20H22O7N4,Directed,194,,1,1
C17H18O4N4,C21H26O6N4,Directed,195,,1,1
C14H22O6N4,C18H30O8N4,Directed,196,,1,1
C18H17O6N1,C22H25O8N1,Directed,197,,1,1
C17H17O5N3,C21H25O7N3,Directed,198,,1,1
C16H12O7N2,C20H20O9N2,Directed,199,,1,1
C17H16O6N2,C21H24O8N2,Directed,200,,1,1
C13H20O7N4,C17H28O9N4,Directed,201,,1,1
C17H20O4N4,C21H28O6N4,Directed,202,,1,1
C14H24O6N4,C18H32O8N4,Directed,203,,1,1
C18H24O3N4,C22H32O5N4,Directed,204,,1,1
C17H15O7N1,C21H23O9N1,Directed,205,,1,1
C16H15O6N3,C20H23O8N3,Directed,206,,1,1
C17H19O5N3,C21H27O7N3,Directed,207,,1,1
C14H23O5N3S1,C18H31O7N3S1,Directed,208,,1,1
C16H19O4N5,C20H27O6N5,Directed,209,,1,1
C16H14O7N2,C20H22O9N2,Directed,210,,1,1
C15H14O6N4,C19H22O8N4,Directed,211,,1,1
C17H18O6N2,C21H26O8N2,Directed,212,,1,1
C16H18O5N4,C20H26O7N4,Directed,213,,1,1
C17H22O4N4,C21H30O6N4,Directed,214,,1,1
C17H17O7N1,C21H25O9N1,Directed,215,,1,1
C16H17O6N3,C20H25O8N3,Directed,216,,1,1
C17H21O5N3,C21H29O7N3,Directed,217,,1,1
C15H12O8N2,C19H20O10N2,Directed,218,,1,1
C16H16O7N2,C20H24O9N2,Directed,219,,1,1
C16H20O5N4,C20H28O7N4,Directed,220,,1,1
C16H28O6S1,C20H36O8S1,Directed,221,,1,1
C17H24O4N4,C21H32O6N4,Directed,222,,1,1
C16H15O8N1,C20H23O10N1,Directed,223,,1,1
C16H19O6N3,C20H27O8N3,Directed,224,,1,1
C15H19O5N5,C19H27O7N5,Directed,225,,1,1
C15H14O8N2,C19H22O10N2,Directed,226,,1,1
C16H18O7N2,C20H26O9N2,Directed,227,,1,1
C15H18O6N4,C19H26O8N4,Directed,228,,1,1
C15H26O7S1,C19H34O9S1,Directed,229,,1,1
C16H22O5N4,C20H30O7N4,Directed,230,,1,1
C17H26O4N4,C21H34O6N4,Directed,231,,1,1
C14H13O8N3,C18H21O10N3,Directed,232,,1,1
C17H21O7N1,C21H29O9N1,Directed,233,,1,1
C15H21O5N5,C19H29O7N5,Directed,234,,1,1
C16H24O5N4,C20H32O7N4,Directed,235,,1,1
C17H28O4N4,C21H36O6N4,Directed,236,,1,1
C15H19O5N3S1,C19H27O7N3S1,Directed,237,,1,1
C16H19O8N1,C20H27O10N1,Directed,238,,1,1
C19H19O4N3,C23H27O6N3,Directed,239,,1,1
C18H27O6N1,C22H35O8N1,Directed,240,,1,1
C14H18O7N4,C18H26O9N4,Directed,241,,1,1
C15H22O6N4,C19H30O8N4,Directed,242,,1,1
C16H34O6S1,C20H42O8S1,Directed,243,,1,1
C15H17O9N1,C19H25O11N1,Directed,244,,1,1
C18H17O5N3,C22H25O7N3,Directed,245,,1,1
C19H21O4N3,C23H29O6N3,Directed,246,,1,1
C18H29O6N1,C22H37O8N1,Directed,247,,1,1
C17H16O5N4,C21H24O7N4,Directed,248,,1,1
C18H15O7N1,C22H23O9N1,Directed,249,,1,1
C18H19O5N3,C22H27O7N3,Directed,250,,1,1
C15H23O7N3,C19H31O9N3,Directed,251,,1,1
C18H14O8,C22H22O10,Directed,252,,1,1
C18H18O6N2,C22H26O8N2,Directed,253,,1,1
C18H22O4N4,C22H30O6N4,Directed,254,,1,1
C18H17O7N1,C22H25O9N1,Directed,255,,1,1
C17H17O6N3,C21H25O8N3,Directed,256,,1,1
C17H21O4N5,C21H29O6N5,Directed,257,,1,1
C17H16O7N2,C21H24O9N2,Directed,258,,1,1
C16H16O6N4,C20H24O8N4,Directed,259,,1,1
C18H20O6N2,C22H28O8N2,Directed,260,,1,1
C17H20O5N4,C21H28O7N4,Directed,261,,1,1
C18H24O4N4,C22H32O6N4,Directed,262,,1,1
C18H19O7N1,C22H27O9N1,Directed,263,,1,1
C17H19O6N3,C21H27O8N3,Directed,264,,1,1
C16H19O5N5,C20H27O7N5,Directed,265,,1,1
C19H23O6N1,C23H31O8N1,Directed,266,,1,1
C18H23O5N3,C22H31O7N3,Directed,267,,1,1
C16H14O8N2,C20H22O10N2,Directed,268,,1,1
C14H22O9N2,C18H30O11N2,Directed,269,,1,1
C17H22O5N4,C21H30O7N4,Directed,270,,1,1
C17H17O8N1,C21H25O10N1,Directed,271,,1,1
C15H17O6N5,C19H25O8N5,Directed,272,,1,1
C17H21O6N3,C21H29O8N3,Directed,273,,1,1
C16H21O5N5,C20H29O7N5,Directed,274,,1,1
C16H16O8N2,C20H24O10N2,Directed,275,,1,1
C15H16O7N4,C19H24O9N4,Directed,276,,1,1
