Source,Target,Type,Id,Label,Weight,colour
C14H16O4N4,C19H26O7N4,Directed,482,,1,2
C15H20O3N4,C20H30O6N4,Directed,483,,1,2
C13H11O6N3,C18H21O9N3,Directed,484,,1,2
C15H15O6N1,C20H25O9N1,Directed,485,,1,2
C14H15O5N3,C19H25O8N3,Directed,486,,1,2
C15H19O4N3,C20H29O7N3,Directed,487,,1,2
C14H14O6N2,C19H24O9N2,Directed,488,,1,2
C14H18O4N4,C19H28O7N4,Directed,489,,1,2
C15H22O3N4,C20H32O6N4,Directed,490,,1,2
C14H13O7N1,C19H23O10N1,Directed,491,,1,2
C15H17O6N1,C20H27O9N1,Directed,492,,1,2
C14H17O5N3,C19H27O8N3,Directed,493,,1,2
C16H21O5N1,C21H31O8N1,Directed,494,,1,2
C17H25O4N1,C22H35O7N1,Directed,495,,1,2
C14H16O6N2,C19H26O9N2,Directed,496,,1,2
C14H20O4N4,C19H30O7N4,Directed,497,,1,2
C15H24O3N4,C20H34O6N4,Directed,498,,1,2
C14H15O7N1,C19H25O10N1,Directed,499,,1,2
C17H15O3N3,C22H25O6N3,Directed,500,,1,2
C15H19O6N1,C20H29O9N1,Directed,501,,1,2
C16H23O5N1,C21H33O8N1,Directed,502,,1,2
C13H18O5N4,C18H28O8N4,Directed,503,,1,2
C14H22O4N4,C19H32O7N4,Directed,504,,1,2
C13H13O8N1,C18H23O11N1,Directed,505,,1,2
C16H13O4N3,C21H23O7N3,Directed,506,,1,2
C15H21O6N1,C20H31O9N1,Directed,507,,1,2
C14H21O5N3,C19H31O8N3,Directed,508,,1,2
C16H25O5N1,C21H35O8N1,Directed,509,,1,2
C16H16O3N4,C21H26O6N4,Directed,510,,1,2
C17H15O5N1,C22H25O8N1,Directed,511,,1,2
C16H15O4N3,C21H25O7N3,Directed,512,,1,2
C16H27O5N1,C21H37O8N1,Directed,513,,1,2
C16H14O5N2,C21H24O8N2,Directed,514,,1,2
C12H18O6N4,C17H28O9N4,Directed,515,,1,2
C16H18O3N4,C21H28O6N4,Directed,516,,1,2
C16H13O6N1,C21H23O9N1,Directed,517,,1,2
C15H13O5N3,C20H23O8N3,Directed,518,,1,2
C14H13O4N5,C19H23O7N5,Directed,519,,1,2
C16H17O4N3,C21H27O7N3,Directed,520,,1,2
C15H12O6N2,C20H22O9N2,Directed,521,,1,2
C16H16O5N2,C21H26O8N2,Directed,522,,1,2
C15H16O4N4,C20H26O7N4,Directed,523,,1,2
C16H20O3N4,C21H30O6N4,Directed,524,,1,2
C16H15O6N1,C21H25O9N1,Directed,525,,1,2
C15H15O5N3,C20H25O8N3,Directed,526,,1,2
C16H19O4N3,C21H29O7N3,Directed,527,,1,2
C12H14O10,C17H24O13,Directed,528,,1,2
C15H14O6N2,C20H24O9N2,Directed,529,,1,2
C15H18O4N4,C20H28O7N4,Directed,530,,1,2
C13H22O7N2,C18H32O10N2,Directed,531,,1,2
C16H22O3N4,C21H32O6N4,Directed,532,,1,2
C15H17O5N3,C20H27O8N3,Directed,533,,1,2
C14H17O4N5,C19H27O7N5,Directed,534,,1,2
C14H12O7N2,C19H22O10N2,Directed,535,,1,2
C15H16O6N2,C20H26O9N2,Directed,536,,1,2
C14H16O5N4,C19H26O8N4,Directed,537,,1,2
C15H20O4N4,C20H30O7N4,Directed,538,,1,2
C16H19O6N1,C21H29O9N1,Directed,539,,1,2
C14H19O4N5,C19H29O7N5,Directed,540,,1,2
C15H22O4N4,C20H32O7N4,Directed,541,,1,2
C16H26O3N4,C21H36O6N4,Directed,542,,1,2
C15H17O7N1,C20H27O10N1,Directed,543,,1,2
C18H17O3N3,C23H27O6N3,Directed,544,,1,2
C17H25O5N1,C22H35O8N1,Directed,545,,1,2
C13H16O6N4,C18H26O9N4,Directed,546,,1,2
C14H20O5N4,C19H30O8N4,Directed,547,,1,2
C15H24O4N4,C20H34O7N4,Directed,548,,1,2
C14H15O8N1,C19H25O11N1,Directed,549,,1,2
C17H15O4N3,C22H25O7N3,Directed,550,,1,2
C18H19O3N3,C23H29O6N3,Directed,551,,1,2
C17H27O5N1,C22H37O8N1,Directed,552,,1,2
C16H14O4N4,C21H24O7N4,Directed,553,,1,2
C17H17O4N3,C22H27O7N3,Directed,554,,1,2
C14H21O6N3,C19H31O9N3,Directed,555,,1,2
C16H25O6N1,C21H35O9N1,Directed,556,,1,2
C17H29O5N1,C22H39O8N1,Directed,557,,1,2
C17H16O5N2,C22H26O8N2,Directed,558,,1,2
C13H20O6N4,C18H30O9N4,Directed,559,,1,2
C17H20O3N4,C22H30O6N4,Directed,560,,1,2
C17H15O6N1,C22H25O9N1,Directed,561,,1,2
C16H15O5N3,C21H25O8N3,Directed,562,,1,2
C15H15O4N5,C20H25O7N5,Directed,563,,1,2
C16H14O6N2,C21H24O9N2,Directed,564,,1,2
C15H14O5N4,C20H24O8N4,Directed,565,,1,2
C17H18O5N2,C22H28O8N2,Directed,566,,1,2
C16H18O4N4,C21H28O7N4,Directed,567,,1,2
C17H22O3N4,C22H32O6N4,Directed,568,,1,2
C17H17O6N1,C22H27O9N1,Directed,569,,1,2
C16H17O5N3,C21H27O8N3,Directed,570,,1,2
C15H17O4N5,C20H27O7N5,Directed,571,,1,2
C18H21O5N1,C23H31O8N1,Directed,572,,1,2
C17H21O4N3,C22H31O7N3,Directed,573,,1,2
C15H12O7N2,C20H22O10N2,Directed,574,,1,2
C13H20O8N2,C18H30O11N2,Directed,575,,1,2
C16H20O4N4,C21H30O7N4,Directed,576,,1,2
C14H24O7N2,C19H34O10N2,Directed,577,,1,2
C16H15O7N1,C21H25O10N1,Directed,578,,1,2
C14H15O5N5,C19H25O8N5,Directed,579,,1,2
C16H19O5N3,C21H29O8N3,Directed,580,,1,2
C15H19O4N5,C20H29O7N5,Directed,581,,1,2
C15H14O7N2,C20H24O10N2,Directed,582,,1,2
C14H14O6N4,C19H24O9N4,Directed,583,,1,2
C15H18O5N4,C20H28O8N4,Directed,584,,1,2
C17H26O3N4,C22H36O6N4,Directed,585,,1,2
C16H17O7N1,C21H27O10N1,Directed,586,,1,2
C15H21O4N5,C20H31O7N5,Directed,587,,1,2
C15H20O5N4,C20H30O8N4,Directed,588,,1,2
C16H24O4N4,C21H34O7N4,Directed,589,,1,2
C17H28O3N4,C22H38O6N4,Directed,590,,1,2
C14H19O5N5,C19H29O8N5,Directed,591,,1,2
C14H18O6N4,C19H28O9N4,Directed,592,,1,2
C15H22O5N4,C20H32O8N4,Directed,593,,1,2
C15H30O6S1,C20H40O9S1,Directed,594,,1,2
C18H17O4N3,C23H27O7N3,Directed,595,,1,2
C17H25O6N1,C22H35O9N1,Directed,596,,1,2
C18H29O5N1,C23H39O8N1,Directed,597,,1,2
C13H16O7N4,C18H26O10N4,Directed,598,,1,2
C14H20O6N4,C19H30O9N4,Directed,599,,1,2
C15H24O5N4,C20H34O8N4,Directed,600,,1,2
C17H15O5N3,C22H25O8N3,Directed,601,,1,2
C17H18O4N4,C22H28O7N4,Directed,602,,1,2
C14H22O6N4,C19H32O9N4,Directed,603,,1,2
C17H17O5N3,C22H27O8N3,Directed,604,,1,2
C16H17O4N5,C21H27O7N5,Directed,605,,1,2
C17H16O6N2,C22H26O9N2,Directed,606,,1,2
C16H16O5N4,C21H26O8N4,Directed,607,,1,2
C17H20O4N4,C22H30O7N4,Directed,608,,1,2
C18H24O3N4,C23H34O6N4,Directed,609,,1,2
C17H15O7N1,C22H25O10N1,Directed,610,,1,2
C17H19O5N3,C22H29O8N3,Directed,611,,1,2
C16H19O4N5,C21H29O7N5,Directed,612,,1,2
C16H14O7N2,C21H24O10N2,Directed,613,,1,2
C16H18O5N4,C21H28O8N4,Directed,614,,1,2
C17H22O4N4,C22H32O7N4,Directed,615,,1,2
C18H26O3N4,C23H36O6N4,Directed,616,,1,2
C17H17O7N1,C22H27O10N1,Directed,617,,1,2
C16H17O6N3,C21H27O9N3,Directed,618,,1,2
C15H17O5N5,C20H27O8N5,Directed,619,,1,2
C15H12O8N2,C20H22O11N2,Directed,620,,1,2
C15H16O6N4,C20H26O9N4,Directed,621,,1,2
C17H24O4N4,C22H34O7N4,Directed,622,,1,2
C16H15O8N1,C21H25O11N1,Directed,623,,1,2
C17H19O7N1,C22H29O10N1,Directed,624,,1,2
C16H22O5N4,C21H32O8N4,Directed,625,,1,2
C16H17O8N1,C21H27O11N1,Directed,626,,1,2
C15H21O5N5,C20H31O8N5,Directed,627,,1,2
C18H25O6N1,C23H35O9N1,Directed,628,,1,2
C19H20O3N4,C24H30O6N4,Directed,629,,1,2
C16H24O5N4,C21H34O8N4,Directed,630,,1,2
C17H28O4N4,C22H38O7N4,Directed,631,,1,2
C15H19O5N3S1,C20H29O8N3S1,Directed,632,,1,2
C14H18O7N4,C19H28O10N4,Directed,633,,1,2
C15H22O6N4,C20H32O9N4,Directed,634,,1,2
C18H20O4N4,C23H30O7N4,Directed,635,,1,2
C18H15O7N1,C23H25O10N1,Directed,636,,1,2
C14H19O8N3,C19H29O11N3,Directed,637,,1,2
C18H14O8,C23H24O11,Directed,638,,1,2
C17H14O7N2,C22H24O10N2,Directed,639,,1,2
C17H18O5N4,C22H28O8N4,Directed,640,,1,2
C18H22O4N4,C23H32O7N4,Directed,641,,1,2
C17H17O6N3,C22H27O9N3,Directed,642,,1,2
C17H21O4N5,C22H31O7N5,Directed,643,,1,2
C17H16O7N2,C22H26O10N2,Directed,644,,1,2
C14H20O9N2,C19H30O12N2,Directed,645,,1,2
C17H20O5N4,C22H30O8N4,Directed,646,,1,2
C18H24O4N4,C23H34O7N4,Directed,647,,1,2
C17H23O4N5,C22H33O7N5,Directed,648,,1,2
C16H14O8N2,C21H24O11N2,Directed,649,,1,2
C15H17O6N5,C20H27O9N5,Directed,650,,1,2
C16H21O5N5,C21H31O8N5,Directed,651,,1,2
C15H16O7N4,C20H26O10N4,Directed,652,,1,2
C16H20O6N4,C21H30O9N4,Directed,653,,1,2
C15H20O7N4,C20H30O10N4,Directed,654,,1,2
C16H24O6N4,C21H34O9N4,Directed,655,,1,2
C18H18O5N4,C23H28O8N4,Directed,656,,1,2
C20H26O3N4,C25H36O6N4,Directed,657,,1,2
C18H20O5N4,C23H30O8N4,Directed,658,,1,2
C19H24O4N4,C24H34O7N4,Directed,659,,1,2
C18H23O4N5,C23H33O7N5,Directed,660,,1,2
C17H14O8N2,C22H24O11N2,Directed,661,,1,2
C17H18O6N4,C22H28O9N4,Directed,662,,1,2
C18H22O5N4,C23H32O8N4,Directed,663,,1,2
C19H26O4N4,C24H36O7N4,Directed,664,,1,2
C16H17O6N5,C21H27O9N5,Directed,665,,1,2
C17H16O8N2,C22H26O11N2,Directed,666,,1,2
C16H18O7N4,C21H28O10N4,Directed,667,,1,2
C17H25O5N5,C22H35O8N5,Directed,668,,1,2
C16H22O7N4,C21H32O10N4,Directed,669,,1,2
C19H23O4N5,C24H33O7N5,Directed,670,,1,2
C19H22O5N4,C24H32O8N4,Directed,671,,1,2
C20H26O4N4,C25H36O7N4,Directed,672,,1,2
C18H21O5N5,C23H31O8N5,Directed,673,,1,2
C19H25O4N5,C24H35O7N5,Directed,674,,1,2
C18H20O6N4,C23H30O9N4,Directed,675,,1,2
C19H24O5N4,C24H34O8N4,Directed,676,,1,2
C20H28O4N4,C25H38O7N4,Directed,677,,1,2
C17H19O6N5,C22H29O9N5,Directed,678,,1,2
C17H21O6N5,C22H31O9N5,Directed,679,,1,2
C18H25O5N5,C23H35O8N5,Directed,680,,1,2
C17H20O7N4,C22H30O10N4,Directed,681,,1,2
C18H24O6N4,C23H34O9N4,Directed,682,,1,2
C20H27O4N5,C25H37O7N5,Directed,683,,1,2
C19H22O6N4,C24H32O9N4,Directed,684,,1,2
C20H26O5N4,C25H36O8N4,Directed,685,,1,2
C19H25O5N5,C24H35O8N5,Directed,686,,1,2
C18H20O7N4,C23H30O10N4,Directed,687,,1,2
C19H24O6N4,C24H34O9N4,Directed,688,,1,2
C18H23O6N5,C23H33O9N5,Directed,689,,1,2
C19H27O5N5,C24H37O8N5,Directed,690,,1,2
C18H19O7N5,C23H29O10N5,Directed,691,,1,2
C20H29O5N5,C25H39O8N5,Directed,692,,1,2
C30H38O10,C35H48O13,Directed,693,,1,2
C9H12O7,C14H20O10,Directed,694,,1,3
C8H11O5N1S1,C13H19O8N1S1,Directed,695,,1,3
C9H15O6N1,C14H23O9N1,Directed,696,,1,3
C8H10O6S1,C13H18O9S1,Directed,697,,1,3
C12H12O5,C17H20O8,Directed,698,,1,3
C11H12O6,C16H20O9,Directed,699,,1,3
C9H7O7N1,C14H15O10N1,Directed,700,,1,3
C11H19O3N3,C16H27O6N3,Directed,701,,1,3
C13H23O3N1,C18H31O6N1,Directed,702,,1,3
C9H9O7N1,C14H17O10N1,Directed,703,,1,3
C11H17O5N1,C16H25O8N1,Directed,704,,1,3
C12H21O4N1,C17H29O7N1,Directed,705,,1,3
C10H12O7,C15H20O10,Directed,706,,1,3
C10H15O6N1,C15H23O9N1,Directed,707,,1,3
C11H19O5N1,C16H27O8N1,Directed,708,,1,3
C9H10O8,C14H18O11,Directed,709,,1,3
C10H14O7,C15H22O10,Directed,710,,1,3
C10H18O5N2,C15H26O8N2,Directed,711,,1,3
C11H21O5N1,C16H29O8N1,Directed,712,,1,3
C14H21O3N1,C19H29O6N1,Directed,713,,1,3
C13H21O4N1,C18H29O7N1,Directed,714,,1,3
C14H25O3N1,C19H33O6N1,Directed,715,,1,3
C11H12O7,C16H20O10,Directed,716,,1,3
C12H19O5N1,C17H27O8N1,Directed,717,,1,3
C13H23O4N1,C18H31O7N1,Directed,718,,1,3
C11H14O7,C16H22O10,Directed,719,,1,3
C11H17O6N1,C16H25O9N1,Directed,720,,1,3
C10H17O5N3,C15H25O8N3,Directed,721,,1,3
C12H21O5N1,C17H29O8N1,Directed,722,,1,3
C10H12O8,C15H20O11,Directed,723,,1,3
C9H10O7S1,C14H18O10S1,Directed,724,,1,3
C10H14O8,C15H22O11,Directed,725,,1,3
C14H21O4N1,C19H29O7N1,Directed,726,,1,3
C15H25O3N1,C20H33O6N1,Directed,727,,1,3
C13H19O5N1,C18H27O8N1,Directed,728,,1,3
C14H23O4N1,C19H31O7N1,Directed,729,,1,3
C15H27O3N1,C20H35O6N1,Directed,730,,1,3
C12H17O6N1,C17H25O9N1,Directed,731,,1,3
C13H21O5N1,C18H29O8N1,Directed,732,,1,3
C14H25O4N1,C19H33O7N1,Directed,733,,1,3
C11H12O8,C16H20O11,Directed,734,,1,3
C10H11O6N1S1,C15H19O9N1S1,Directed,735,,1,3
C11H15O7N1,C16H23O10N1,Directed,736,,1,3
C12H19O6N1,C17H27O9N1,Directed,737,,1,3
C11H19O5N3,C16H27O8N3,Directed,738,,1,3
C13H23O5N1,C18H31O8N1,Directed,739,,1,3
C11H14O8,C16H22O11,Directed,740,,1,3
C15H21O4N1,C20H29O7N1,Directed,741,,1,3
C13H15O6N1,C18H23O9N1,Directed,742,,1,3
C15H23O4N1,C20H31O7N1,Directed,743,,1,3
C11H9O6N1S1,C16H17O9N1S1,Directed,744,,1,3
C12H13O7N1,C17H21O10N1,Directed,745,,1,3
C13H17O6N1,C18H25O9N1,Directed,746,,1,3
C17H17O3N1,C22H25O6N1,Directed,747,,1,3
C15H25O4N1,C20H33O7N1,Directed,748,,1,3
C11H11O8N1,C16H19O11N1,Directed,749,,1,3
C12H15O7N1,C17H23O10N1,Directed,750,,1,3
C16H15O4N1,C21H23O7N1,Directed,751,,1,3
C13H19O6N1,C18H27O9N1,Directed,752,,1,3
C14H23O5N1,C19H31O8N1,Directed,753,,1,3
C12H17O7N1,C17H25O10N1,Directed,754,,1,3
C11H17O6N3,C16H25O9N3,Directed,755,,1,3
C16H17O4N1,C21H25O7N1,Directed,756,,1,3
C12H21O5N3,C17H29O8N3,Directed,757,,1,3
C14H25O5N1,C19H33O8N1,Directed,758,,1,3
C11H12O9,C16H20O12,Directed,759,,1,3
C15H15O5N1,C20H23O8N1,Directed,760,,1,3
C11H14O9,C16H22O12,Directed,761,,1,3
C15H18O4N2,C20H26O7N2,Directed,762,,1,3
C13H13O5N3,C18H21O8N3,Directed,763,,1,3
C15H21O3N3,C20H29O6N3,Directed,764,,1,3
C13H12O6N2,C18H20O9N2,Directed,765,,1,3
C14H16O5N2,C19H24O8N2,Directed,766,,1,3
C13H11O7N1,C18H19O10N1,Directed,767,,1,3
C14H15O6N1,C19H23O9N1,Directed,768,,1,3
C14H19O4N3,C19H27O7N3,Directed,769,,1,3
C16H23O4N1,C21H31O7N1,Directed,770,,1,3
C9H14O7N2S1,C14H22O10N2S1,Directed,771,,1,3
C13H14O6N2,C18H22O9N2,Directed,772,,1,3
C14H18O5N2,C19H26O8N2,Directed,773,,1,3
C15H21O5N1,C20H29O8N1,Directed,774,,1,3
C13H16O6N2,C18H24O9N2,Directed,775,,1,3
C12H16O5N4,C17H24O8N4,Directed,776,,1,3
C13H20O4N4,C18H28O7N4,Directed,777,,1,3
C12H11O8N1,C17H19O11N1,Directed,778,,1,3
C13H15O7N1,C18H23O10N1,Directed,779,,1,3
C16H15O3N3,C21H23O6N3,Directed,780,,1,3
C14H19O6N1,C19H27O9N1,Directed,781,,1,3
C13H19O5N3,C18H27O8N3,Directed,782,,1,3
C15H23O5N1,C20H31O8N1,Directed,783,,1,3
C14H23O4N3,C19H31O7N3,Directed,784,,1,3
C16H27O4N1,C21H35O7N1,Directed,785,,1,3
C12H13O8N1,C17H21O11N1,Directed,786,,1,3
C13H17O7N1,C18H25O10N1,Directed,787,,1,3
C16H17O3N3,C21H25O6N3,Directed,788,,1,3
C13H21O5N3,C18H29O8N3,Directed,789,,1,3
C15H25O5N1,C20H33O8N1,Directed,790,,1,3
C15H12O5N2,C20H20O8N2,Directed,791,,1,3
C16H16O4N2,C21H24O7N2,Directed,792,,1,3
C15H16O3N4,C20H24O6N4,Directed,793,,1,3
C12H15O8N1,C17H23O11N1,Directed,794,,1,3
C16H15O5N1,C21H23O8N1,Directed,795,,1,3
C15H15O4N3,C20H23O7N3,Directed,796,,1,3
C13H19O7N1,C18H27O10N1,Directed,797,,1,3
C17H23O2N3,C22H31O5N3,Directed,798,,1,3
C14H10O6N2,C19H18O9N2,Directed,799,,1,3
C12H14O9,C17H22O12,Directed,800,,1,3
C15H14O5N2,C20H22O8N2,Directed,801,,1,3
C15H18O3N4,C20H26O6N4,Directed,802,,1,3
C15H13O6N1,C20H21O9N1,Directed,803,,1,3
C14H13O5N3,C19H21O8N3,Directed,804,,1,3
C16H17O5N1,C21H25O8N1,Directed,805,,1,3
C15H17O4N3,C20H25O7N3,Directed,806,,1,3
C12H21O6N3,C17H29O9N3,Directed,807,,1,3
C16H21O3N3,C21H29O6N3,Directed,808,,1,3
C14H12O6N2,C19H20O9N2,Directed,809,,1,3
C12H16O9,C17H24O12,Directed,810,,1,3
C15H16O5N2,C20H24O8N2,Directed,811,,1,3
C14H16O4N4,C19H24O7N4,Directed,812,,1,3
C15H20O3N4,C20H28O6N4,Directed,813,,1,3
C15H15O6N1,C20H23O9N1,Directed,814,,1,3
C14H15O5N3,C19H23O8N3,Directed,815,,1,3
C15H19O4N3,C20H27O7N3,Directed,816,,1,3
C14H14O6N2,C19H22O9N2,Directed,817,,1,3
C15H18O5N2,C20H26O8N2,Directed,818,,1,3
C14H18O4N4,C19H26O7N4,Directed,819,,1,3
C15H22O3N4,C20H30O6N4,Directed,820,,1,3
C14H13O7N1,C19H21O10N1,Directed,821,,1,3
C13H13O6N3,C18H21O9N3,Directed,822,,1,3
C15H17O6N1,C20H25O9N1,Directed,823,,1,3
C14H17O5N3,C19H25O8N3,Directed,824,,1,3
C15H21O4N3,C20H29O7N3,Directed,825,,1,3
C13H12O7N2,C18H20O10N2,Directed,826,,1,3
C14H16O6N2,C19H24O9N2,Directed,827,,1,3
C14H20O4N4,C19H28O7N4,Directed,828,,1,3
C15H24O3N4,C20H32O6N4,Directed,829,,1,3
C14H15O7N1,C19H23O10N1,Directed,830,,1,3
C15H19O6N1,C20H27O9N1,Directed,831,,1,3
C14H19O5N3,C19H27O8N3,Directed,832,,1,3
C18H19O2N3,C23H27O5N3,Directed,833,,1,3
C16H23O5N1,C21H31O8N1,Directed,834,,1,3
C17H27O4N1,C22H35O7N1,Directed,835,,1,3
C14H18O6N2,C19H26O9N2,Directed,836,,1,3
C14H22O4N4,C19H30O7N4,Directed,837,,1,3
C13H13O8N1,C18H21O11N1,Directed,838,,1,3
C14H17O7N1,C19H25O10N1,Directed,839,,1,3
C17H17O3N3,C22H25O6N3,Directed,840,,1,3
C15H21O6N1,C20H29O9N1,Directed,841,,1,3
C16H25O5N1,C21H33O8N1,Directed,842,,1,3
C13H15O8N1,C18H23O11N1,Directed,843,,1,3
C16H15O4N3,C21H23O7N3,Directed,844,,1,3
C15H23O6N1,C20H31O9N1,Directed,845,,1,3
C14H23O5N3,C19H31O8N3,Directed,846,,1,3
C16H27O5N1,C21H35O8N1,Directed,847,,1,3
C15H14O4N4,C20H22O7N4,Directed,848,,1,3
C16H18O3N4,C21H26O6N4,Directed,849,,1,3
C16H13O6N1,C21H21O9N1,Directed,850,,1,3
C17H17O5N1,C22H25O8N1,Directed,851,,1,3
C16H17O4N3,C21H25O7N3,Directed,852,,1,3
C16H29O5N1,C21H37O8N1,Directed,853,,1,3
C15H12O6N2,C20H20O9N2,Directed,854,,1,3
C16H16O5N2,C21H24O8N2,Directed,855,,1,3
C16H20O3N4,C21H28O6N4,Directed,856,,1,3
C14H11O6N3,C19H19O9N3,Directed,857,,1,3
C16H15O6N1,C21H23O9N1,Directed,858,,1,3
C15H15O5N3,C20H23O8N3,Directed,859,,1,3
C14H15O4N5,C19H23O7N5,Directed,860,,1,3
C16H19O4N3,C21H27O7N3,Directed,861,,1,3
C12H14O10,C17H22O13,Directed,862,,1,3
C15H14O6N2,C20H22O9N2,Directed,863,,1,3
C14H14O5N4,C19H22O8N4,Directed,864,,1,3
C16H18O5N2,C21H26O8N2,Directed,865,,1,3
C15H18O4N4,C20H26O7N4,Directed,866,,1,3
C16H22O3N4,C21H30O6N4,Directed,867,,1,3
C16H17O6N1,C21H25O9N1,Directed,868,,1,3
C15H17O5N3,C20H25O8N3,Directed,869,,1,3
C16H21O4N3,C21H29O7N3,Directed,870,,1,3
C14H12O7N2,C19H20O10N2,Directed,871,,1,3
C12H16O10,C17H24O13,Directed,872,,1,3
C15H16O6N2,C20H24O9N2,Directed,873,,1,3
C15H20O4N4,C20H28O7N4,Directed,874,,1,3
C15H15O7N1,C20H23O10N1,Directed,875,,1,3
C15H19O5N3,C20H27O8N3,Directed,876,,1,3
C14H19O4N5,C19H27O7N5,Directed,877,,1,3
C14H14O7N2,C19H22O10N2,Directed,878,,1,3
C15H18O6N2,C20H26O9N2,Directed,879,,1,3
C14H18O5N4,C19H26O8N4,Directed,880,,1,3
C15H22O4N4,C20H30O7N4,Directed,881,,1,3
C16H26O3N4,C21H34O6N4,Directed,882,,1,3
C13H13O7N3,C18H21O10N3,Directed,883,,1,3
C16H21O6N1,C21H29O9N1,Directed,884,,1,3
C15H24O4N4,C20H32O7N4,Directed,885,,1,3
C14H15O8N1,C19H23O11N1,Directed,886,,1,3
C14H19O4N3S1,C19H27O7N3S1,Directed,887,,1,3
C15H19O7N1,C20H27O10N1,Directed,888,,1,3
C18H19O3N3,C23H27O6N3,Directed,889,,1,3
C17H27O5N1,C22H35O8N1,Directed,890,,1,3
C13H18O6N4,C18H26O9N4,Directed,891,,1,3
C14H17O8N1,C19H25O11N1,Directed,892,,1,3
C17H17O4N3,C22H25O7N3,Directed,893,,1,3
C18H21O3N3,C23H29O6N3,Directed,894,,1,3
C17H29O5N1,C22H37O8N1,Directed,895,,1,3
C16H16O4N4,C21H24O7N4,Directed,896,,1,3
C13H15O9N1,C18H23O12N1,Directed,897,,1,3
C17H15O6N1,C22H23O9N1,Directed,898,,1,3
C17H19O4N3,C22H27O7N3,Directed,899,,1,3
C22H19O2N1,C27H27O5N1,Directed,900,,1,3
C17H18O5N2,C22H26O8N2,Directed,901,,1,3
C17H22O3N4,C22H30O6N4,Directed,902,,1,3
C17H17O6N1,C22H25O9N1,Directed,903,,1,3
C16H17O5N3,C21H25O8N3,Directed,904,,1,3
C15H17O4N5,C20H25O7N5,Directed,905,,1,3
C16H16O6N2,C21H24O9N2,Directed,906,,1,3
C15H16O5N4,C20H24O8N4,Directed,907,,1,3
C17H20O5N2,C22H28O8N2,Directed,908,,1,3
C16H20O4N4,C21H28O7N4,Directed,909,,1,3
C17H24O3N4,C22H32O6N4,Directed,910,,1,3
C16H15O7N1,C21H23O10N1,Directed,911,,1,3
C17H19O6N1,C22H27O9N1,Directed,912,,1,3
C16H19O5N3,C21H27O8N3,Directed,913,,1,3
C15H19O4N5,C20H27O7N5,Directed,914,,1,3
C18H23O5N1,C23H31O8N1,Directed,915,,1,3
C17H23O4N3,C22H31O7N3,Directed,916,,1,3
C15H14O7N2,C20H22O10N2,Directed,917,,1,3
C16H22O4N4,C21H30O7N4,Directed,918,,1,3
C16H17O7N1,C21H25O10N1,Directed,919,,1,3
C14H17O5N5,C19H25O8N5,Directed,920,,1,3
C16H21O5N3,C21H29O8N3,Directed,921,,1,3
C15H21O4N5,C20H29O7N5,Directed,922,,1,3
C15H16O7N2,C20H24O10N2,Directed,923,,1,3
C14H16O6N4,C19H24O9N4,Directed,924,,1,3
C15H20O5N4,C20H28O8N4,Directed,925,,1,3
C17H28O3N4,C22H36O6N4,Directed,926,,1,3
C16H19O7N1,C21H27O10N1,Directed,927,,1,3
C14H14O8N2,C19H22O11N2,Directed,928,,1,3
C15H22O5N4,C20H30O8N4,Directed,929,,1,3
C15H30O6S1,C20H38O9S1,Directed,930,,1,3
C16H26O4N4,C21H34O7N4,Directed,931,,1,3
C15H17O8N1,C20H25O11N1,Directed,932,,1,3
C14H20O6N4,C19H28O9N4,Directed,933,,1,3
C15H24O5N4,C20H32O8N4,Directed,934,,1,3
C14H15O9N1,C19H23O12N1,Directed,935,,1,3
C18H19O4N3,C23H27O7N3,Directed,936,,1,3
C17H27O6N1,C22H35O9N1,Directed,937,,1,3
C18H31O5N1,C23H39O8N1,Directed,938,,1,3
C13H18O7N4,C18H26O10N4,Directed,939,,1,3
C14H22O6N4,C19H30O9N4,Directed,940,,1,3
C17H17O5N3,C22H25O8N3,Directed,941,,1,3
C17H20O4N4,C22H28O7N4,Directed,942,,1,3
C14H24O6N4,C19H32O9N4,Directed,943,,1,3
C17H15O7N1,C22H23O10N1,Directed,944,,1,3
C17H19O5N3,C22H27O8N3,Directed,945,,1,3
C16H19O4N5,C21H27O7N5,Directed,946,,1,3
C17H18O6N2,C22H26O9N2,Directed,947,,1,3
C16H18O5N4,C21H26O8N4,Directed,948,,1,3
C17H22O4N4,C22H30O7N4,Directed,949,,1,3
C18H26O3N4,C23H34O6N4,Directed,950,,1,3
C17H17O7N1,C22H25O10N1,Directed,951,,1,3
C15H17O5N5,C20H25O8N5,Directed,952,,1,3
C17H21O5N3,C22H29O8N3,Directed,953,,1,3
C16H21O4N5,C21H29O7N5,Directed,954,,1,3
C15H12O8N2,C20H20O11N2,Directed,955,,1,3
C16H16O7N2,C21H24O10N2,Directed,956,,1,3
C16H20O5N4,C21H28O8N4,Directed,957,,1,3
C17H24O4N4,C22H32O7N4,Directed,958,,1,3
C18H28O3N4,C23H36O6N4,Directed,959,,1,3
C16H15O8N1,C21H23O11N1,Directed,960,,1,3
C17H19O7N1,C22H27O10N1,Directed,961,,1,3
C16H19O6N3,C21H27O9N3,Directed,962,,1,3
C15H19O5N5,C20H27O8N5,Directed,963,,1,3
C15H14O8N2,C20H22O11N2,Directed,964,,1,3
C15H18O6N4,C20H26O9N4,Directed,965,,1,3
